,0,1,2,3,4,5,6,7,8,9
75,"89701 : Wunsch, Richard, 1869-1911",,,,,,,,,
76,nan,,,,,,,,,
77,"89530 : Jahnke, Richard, 1868-1933",,,,,,,,,
78,"89460 : Hermes, Emil, 1847-1911",,,,,,,,,
79,"89698 : Richter, Gustav, 1838-1904"," 84134 : Peiper, Rudolf, 1834-1898",,,,,,,,
80,"89698 : Richter, Gustav, 1838-1904"," 84134 : Peiper, Rudolf, 1834-1898",,,,,,,,
81,"89698 : Richter, Gustav, 1838-1904"," 84134 : Peiper, Rudolf, 1834-1898",,,,,,,,
82,"89460 : Hermes, Emil, 1847-1911"," 84097 : Hosius, Carl, 1866-1937",,,,,,,,
83,"89459 : Gercke, Alfred, 1860-1922"," 89460 : Hermes, Emil, 1847-1911"," 89461 : Haase, Friedrich, 1808-1867"," 89695 : Heuse, Otto, 1902-"," 84097 : Hosius, Carl, 1866-1937",,,,,
84,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
85,"89459 : Gercke, Alfred, 1860-1922"," 89460 : Hermes, Emil, 1847-1911"," 89461 : Haase, Friedrich, 1808-1867"," 84092 : Hense, Otto, 1845-1931"," 84097 : Hosius, Carl, 1866-1937",,,,,
86,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
87,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
88,"89459 : Gercke, Alfred, 1860-1922"," 89460 : Hermes, Emil, 1847-1911"," 89461 : Haase, Friedrich, 1808-1867"," 84092 : Hense, Otto, 1845-1931"," 84097 : Hosius, Carl, 1866-1937",,,,,
89,"89699 : Rossbach, Otto, 1858-1931",,,,,,,,,
90,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
91,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
92,"89438 : Garrod, H. W. (Heathcote William), 1878-1960"," 89459 : Gercke, Alfred, 1860-1922",,,,,,,,
93,"89459 : Gercke, Alfred, 1860-1922"," 89460 : Hermes, Emil, 1847-1911"," 89461 : Haase, Friedrich, 1808-1867"," 84092 : Hense, Otto, 1845-1931"," 84097 : Hosius, Carl, 1866-1937",,,,,
94,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
95,"89694 : Gundermann, Gotthold, 1856-1921",,,,,,,,,
96,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
97,"84104 : Kübler, Bernhard, 1859-1940"," 89616 : Seckel, Emil, 1864-1924",,,,,,,,
98,"89692 : Bremer, F. P. (Franz Peter), 1832-",,,,,,,,,
99,"Sittl, Karl, 1862-1899",,,,,,,,,
100,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876",,,,,,,,,
101,nan,,,,,,,,,
102,"89536 : Ludwig, Ernst, 1845-1912",,,,,,,,,
103,"89536 : Ludwig, Ernst, 1845-1912",,,,,,,,,
104,"89536 : Ludwig, Ernst, 1845-1912",,,,,,,,,
105,"Meyer, Wilhelm, 1845-1917.",,,,,,,,,
106,nan,,,,,,,,,
107,"84054 : Dinter, Bernard",,,,,,,,,
108,"84054 : Dinter, Bernard",,,,,,,,,
109,"84190 : Wölfflin, Eduard von, 1831-1908"," 84104 : Kübler, Bernhard, 1859-1940",,,,,,,,
110,"84190: Wölfflin, Eduard von, 1831-1908"," 84104 : Kübler, Bernhard, 1859-1940",,,,,,,,
111,nan,,,,,,,,,
112,nan,,,,,,,,,
113,nan,,,,,,,,,
114,"84104 : Kübler, Bernhard, 1859-1940",,,,,,,,,
115,"89535 : Lebreton, Maria Magdalena"," 89537 : Maier, Anneliese, 1905-1971"," 89540 : Ruysschaert, José"," 89534 : Laurent, M.-H. (Marie-Hyacinthe), 1906-1968"," 89525 : Borino, Giovanni Battista"," 89539 : Pelzer, Auguste, 1876-1958"," 89526 : Carusi, Enrico, 1878-1945"," 89538 : Nogara, Bartolomeo, 1868-1954"," 89572 : Franchi de' Cavalieri, Pius, 1869-1960"," 89542 : Vattasso, Marco, 1869-1925"
116,"89473 : Vigna, Raimondo Amedeo",,,,,,,,,
117,"89588 : Ziegler, Hermann Rudolf, 1851-",,,,,,,,,
118,nan,,,,,,,,,
119,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
120,"89548 : Boer, Ae."," 89549 : Boll, Franz, 1867-1924"," 84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,,,,,
121,"89531 : Koch, Julius, 1866-",,,,,,,,,
122,"89531 : Koch, Julius, 1866-",,,,,,,,,
123,"84093 : Hercher, Rudolf, 1821-1878",,,,,,,,,
124,"84093 : Hercher, Rudolf, 1821-1878",,,,,,,,,
125,"84093 : Hercher, Rudolf, 1821-1878",,,,,,,,,
126,"89543 : Vessereau, Jules, 1863-",,,,,,,,,
127,"89533 : Landgraf, Gustav, 1857-1932"," 89529 : Gronovius, Jacobus, 1645-1716",,,,,,,,
128,nan,,,,,,,,,
129,"89532 : La Ville de Mirmont, H. de (Henri), 1858-1924",,,,,,,,,
130,"89524 : Boor, Carl de 1848-1923",,,,,,,,,
131,"91731 : Frick, Karl, 1848-",,,,,,,,,
132,"84045 : Baehrens, Emil, 1848-1888",,,,,,,,,
133,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
134,nan,,,,,,,,,
135,nan,,,,,,,,,
136,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
