,0,1,2,3,4,5,6,7,8,9
369,"Reisch, Emil, 1863-1933"," 91549 : Schenkl, Karl, 1827-1900",,,,,,,,
370,"84174 : Schmitt, Johann Christoph",,,,,,,,,
371,"89612 : Reichardt, Walther, 1869-",,,,,,,,,
372,"89575 : Klotz, Reinhold, 1807-1870",,,,,,,,,
373,nan,,,,,,,,,
374,nan,,,,,,,,,
375,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
376,"84103 : Kiessling, Adolf, 1837-1892",,,,,,,,,
377,Heraeus W.," 84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,
378,nan,,,,,,,,,
379,nan,,,,,,,,,
380,"84086 : Friedlein, Gottfried, 1828-1875",,,,,,,,,
381,nan,,,,,,,,,
382,nan,,,,,,,,,
383,"89594 : Foss, Heinrich Eduard, 1805-1875",,,,,,,,,
384,"89594 : Foss, Heinrich Eduard, 1805-1875",,,,,,,,,
385,nan,,,,,,,,,
386,nan,,,,,,,,,
387,"89701 : Wunsch, Richard, 1869-1911",,,,,,,,,
388,nan,,,,,,,,,
389,"Schmidt, Wilhelm, 1862-1905",,,,,,,,,
390,"89592 : Daremberg, Charles, 1817-1872",,,,,,,,,
391,"89592 : Daremberg, Charles, 1817-1872",,,,,,,,,
392,"Schiche, Theodor",,,,,,,,,
393,nan,,,,,,,,,
394,"89589 : Ziegler, Konrat, 1884-1974",,,,,,,,,
395,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
396,"84191 : Zachariä von Lingenthal, Karl Eduard, 1812-1894",,,,,,,,,
397,"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,,,,,,
398,"84048 : Blass, Friedrich, 1843-1907"," Schubart, Wilhelm, 1873-1960"," 84052 : Diels, Hermann, 1848-1922",,,,,,,
399,"84048 : Blass, Friedrich, 1843-1907"," Schubart, Wilhelm, 1873-1960"," 84052 : Diels, Hermann, 1848-1922",,,,,,,
400,nan,,,,,,,,,
401,nan,,,,,,,,,
402,"89551 : Dombart, Bernhard, 1832-1907",,,,,,,,,
403,"91731 : Frick, Karl, 1848-",,,,,,,,,
404,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,,,,,
405,"Ranke, Friedrich, 1882-1950",,,,,,,,,
406,nan,,,,,,,,,
407,nan,,,,,,,,,
408,nan,,,,,,,,,
409,"84089 : Goetz, Georg, 1849-1932",,,,,,,,,
410,"89578 : Meister, Ferdinand Otto, 1828-1915",,,,,,,,,
411,"84099 : Ihm, Max, 1863-1909",,,,,,,,,
412,"Häckermann, Adolf, 1819-",,,,,,,,,
413,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
414,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
415,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
416,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
417,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
418,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
419,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
420,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
421,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
422,nan,,,,,,,,,
423,"89482 : Postgate, J.P. (John Percival), 1853-1926",,,,,,,,,
424,"89482 : Postgate, J.P. (John Percival), 1853-1926",,,,,,,,,
425,"89586 : Wachsmuth, Curt, 1837-1905"," Brandt, Paul, 1861-1932",,,,,,,,
426,"89586 : Wachsmuth, Curt, 1837-1905"," Brandt, Paul, 1861-1932",,,,,,,,
427,"89482: Postgate, J.P. (John Percival), 1853-1926",,,,,,,,,
428,nan,,,,,,,,,
429,"89482 : Postgate, J.P. (John Percival), 1853-1926",,,,,,,,,
430,"89482 : Postgate, J.P. (John Percival), 1853-1926",,,,,,,,,
431,"89576 : Köchly, Hermann, 1815-1876",,,,,,,,,
432,"Loewe, Gustav, 1852-1883"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
433,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937"," 84189 : Wessner, Paul, 1870-1933"," Heraeus, W. (Wilhelm), 1862-1938"," 89694 : Gundermann, Gotthold, 1856-1921"," Loewe, Gustav, 1852-1883"," 84089 : Goetz, Georg, 1849-1932",,,,
434,"Thulin, Carl, 1871-1921",,,,,,,,,
435,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
436,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
437,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
438,nan,,,,,,,,,
439,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
440,"Heraeus, W. (Wilhelm), 1862-1938"," Heraeus, Carl (Karl Jesaias), 1818-1891",,,,,,,,
441,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
442,"89571 : Fleckeisen, Alfred, 1820-1899"," 89560 : Halm, Karl, 1809-1882",,,,,,,,
443,nan,,,,,,,,,
444,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
445,nan,,,,,,,,,
446,"89560 : Halm, Karl, 1809-1882"," 89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,
447,nan,,,,,,,,,
448,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,,,,,
449,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
450,"89568 : Brinkmann, August, 1863-1923",,,,,,,,,
451,"Helmreich, Georg, 1849-1921",,,,,,,,,
452,"89605 : Knöll, Pius",,,,,,,,,
453,nan,,,,,,,,,
454,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
455,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
456,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
457,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
458,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
459,nan,,,,,,,,,
460,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
461,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
462,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
463,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
464,"Ramorino, F. (Felice), 1852-1929",,,,,,,,,
465,"89530 : Jahnke, Richard, 1868-1933",,,,,,,,,
466,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
467,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876",,,,,,,,,
468,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
469,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
470,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
471,"84059 : Eussner, Adam, 1844-",,,,,,,,,
472,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,,,,,
473,"84059 : Eussner, Adam, 1844-",,,,,,,,,
474,nan,,,,,,,,,
475,nan,,,,,,,,,
476,"84059 : Eussner, Adam, 1844-",,,,,,,,,
477,nan,,,,,,,,,
478,"89546 : Beck, J. W. (Jan Wibertus)",,,,,,,,,
479,nan,,,,,,,,,
480,"84121 : Mayhoff, Karl, 1841-1914"," 84101 : Jan, Ludwig von 1807-1869",,,,,,,,
481,nan,,,,,,,,,
482,nan,,,,,,,,,
483,"84101 : Jan, Ludwig von 1807-1869",,,,,,,,,
484,nan,,,,,,,,,
485,"84121 : Mayhoff, Karl, 1841-1914",,,,,,,,,
486,"84190: Wölfflin, Eduard von, 1831-1908"," Bernhard, Gustav Adolf",,,,,,,,
487,"84190 : Wölfflin, Eduard von, 1831-1908"," 84104 : Kübler, Bernhard, 1859-1940",,,,,,,,
488,"84121 : Mayhoff, Karl, 1841-1914"," 84101 : Jan, Ludwig von 1807-1869",,,,,,,,
489,"84121 : Mayhoff, Karl, 1841-1914"," 84101 : Jan, Ludwig von 1807-1869",,,,,,,,
490,"84108 : Keil, Heinrich, 1822-1894",,,,,,,,,
491,"84105 : Kukula, R. C. (Richard Cornelius), 1862-1919",,,,,,,,,
492,"84121 : Mayhoff, Karl, 1841-1914"," 84101 : Jan, Ludwig von 1807-1869",,,,,,,,
493,"84108 : Keil, Heinrich, 1822-1894",,,,,,,,,
494,nan,,,,,,,,,
495,"84092 : Hense, Otto, 1845-1931",,,,,,,,,
496,"84104 : Kübler, Bernhard, 1859-1940",,,,,,,,,
497,"84190 : Wölfflin, Eduard von, 1831-1908"," 84104 : Kübler, Bernhard, 1859-1940",,,,,,,,
498,"84054 : Dinter, Bernard",,,,,,,,,
499,"84054 : Dinter, Bernard",,,,,,,,,
500,"84125 : Miodoński, Adam Stefan, 1861-1913"," 84190 : Wölfflin, Eduard von, 1831-1908",,,,,,,,
501,START HERE,,,,,,,,,
502,"84053 : Dietsch, Heinrich Rudolf, 1814-1875"," 84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,,,,,,,
503,nan,,,,,,,,,
504,"84143 : Rühl, Franz, 1845-1916",,,,,,,,,
505,"84190 : Wölfflin, Eduard von, 1831-1908",,,,,,,,,
506,"84048 : Blass, Friedrich, 1843-1907",,,,,,,,,
507,"84048 : Blass, Friedrich, 1843-1907"," 84181 : Süss, Wilhelm, 1882-1969",,,,,,,,
508,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,,,,,
509,"84134 : Peiper, Rudolf, 1834-1898",,,,,,,,,
510,"84134 : Peiper, Rudolf, 1834-1898",,,,,,,,,
511,"84106 : Heidenhain, Friedrich Jakob, 1845-1912",,,,,,,,,
512,nan,,,,,,,,,
513,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
514,"84122 : Meineke, August, 1790-1870",,,,,,,,,
515,"84122 : Meineke, August, 1790-1870",,,,,,,,,
516,"84139 : Roemer, Adolph",,,,,,,,,
517,"84096 : Hoche, Richard Gottfried, 1834-1906",,,,,,,,,
518,"84096 : Hoche, Richard Gottfried, 1834-1906",,,,,,,,,
519,"84052 : Diels, Hermann, 1848-1922",,,,,,,,,
520,"84140 : Rose, Valentin, 1829-1916",,,,,,,,,
521,"84180 : Susemihl, Franz, 1826-1901",,,,,,,,,
522,"84050 : Christ, Wilhelm von, 1831-1906",,,,,,,,,
523,"84050 : Christ, Wilhelm von, 1831-1906",,,,,,,,,
524,"84050 : Christ, Wilhelm von, 1831-1906",,,,,,,,,
525,"84047 : Bergk, Theodor, 1812-1881",,,,,,,,,
526,"84047 : Bergk, Theodor, 1812-1881",,,,,,,,,
527,"84047 : Bergk, Theodor, 1812-1881",,,,,,,,,
528,"84115 : Langkavel, Bernhard August, 1825-1902",,,,,,,,,
529,nan,,,,,,,,,
530,"84180 : Susemihl, Franz, 1826-1901",,,,,,,,,
531,"84036 : Apelt, Otto, 1845-"," 84180 : Susemihl, Franz, 1826-1901",,,,,,,,
532,"84124 : Mendelssohn, Ludwig, 1852-1896"," 84188 : Wendland, Paul, 1864-1915",,,,,,,,
533,"84124 : Mendelssohn, Ludwig, 1852-1896"," 84188 : Wendland, Paul, 1864-1915",,,,,,,,
534,"89577 : Kramer, Otto, 1887-",,,,,,,,,
535,"84045 : Baehrens, Emil, 1848-1888",,,,,,,,,
536,"84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,,,,,,,
537,"84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,,,,,,,
538,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,,,,,
539,"84183 : Thomas, Paul, 1852-1937",,,,,,,,,
540,nan,,,,,,,,,
541,"84183 : Thomas, Paul, 1852-1937"," 84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,,,,
542,"84183 : Thomas, Paul, 1852-1937"," 84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,,,,
543,"84124 : Mendelssohn, Ludwig, 1852-1896",,,,,,,,,
544,"84124 : Mendelssohn, Ludwig, 1852-1896",,,,,,,,,
545,"84186 : Vollmer, Friedrich, 1867-1923"," 84088 : Giarratano, Caesar, 1880-",,,,,,,,
546,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,,
547,"84051 : Clark, Charles Upson, 1875-1960",,,,,,,,,
548,nan,,,,,,,,,
549,"84100 : Jacoby, Carolus, 1849-1939",,,,,,,,,
550,"84100 : Jacoby, Carolus, 1849-1939",,,,,,,,,
551,"84117 : Lommatzsch, Ernst, 1871-1949"," 84049 : Buecheler, Franz, 1837-1908"," 84137 : Riese, Alexander, 1840-1922",,,,,,,
552,"84137 : Riese, Alexander, 1840-1922"," 84049 : Buecheler, Franz, 1837-1908",,,,,,,,
553,"84049 : Buecheler, Franz, 1837-1908"," 84137 : Riese, Alexander, 1840-1922",,,,,,,,
554,"84137 : Riese, Alexander, 1840-1922"," 84049 : Buecheler, Franz, 1837-1908",,,,,,,,
555,"84117 : Lommatzsch, Ernst, 1871-1949"," 84137 : Riese, Alexander, 1840-1922"," 84049 : Buecheler, Franz, 1837-1908",,,,,,,
556,"84140 : Rose, Valentin, 1829-1916",,,,,,,,,
557,"84179 : Stegmann, Carl",,,,,,,,,
558,"84103 : Kiessling, Adolf, 1837-1892",,,,,,,,,
559,"84086 : Friedlein, Gottfried, 1828-1875",,,,,,,,,
560,"84123 : Meiser, Karl, 1843-1912",,,,,,,,,
561,"84123 : Meiser, Karl, 1843-1912",,,,,,,,,
562,nan,,,,,,,,,
563,"84087 : Gardthausen, V. (Victor), 1843-1928",,,,,,,,,
564,"84087 : Gardthausen, V. (Victor), 1843-1928",,,,,,,,,
565,"84051 : Clark, Charles Upson, 1875-1960",,,,,,,,,
566,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
567,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
568,"84141 : Rossbach, August, 1823-1898",,,,,,,,,
569,nan,,,,,,,,,
570,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
571,"89589 : Ziegler, Konrat, 1884-1974"," 89582 : Skutsch, Franz, 1865-1912"," Kroll, Wilhelm",,,,,,,
572,"Hertlein, Friedrich Karl Gottlob",,,,,,,,,
573,"84104 : Kübler, Bernhard, 1859-1940", Pseudo-Callisthenes,,,,,,,,
574,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
575,"89589 : Ziegler, Konrat, 1884-1974",,,,,,,,,
576,"Scheibe, Karl Friedrich, 1812-1869",,,,,,,,,
577,nan,,,,,,,,,
578,"89689 : Webb, Clement Charles Julian, 1865-1954",,,,,,,,,
579,"Egenolff, Peter, 1851-1901",,,,,,,,,
580,"89701 : Wunsch, Richard, 1869-1911",,,,,,,,,
581,"Canabutzes, Joannes"," 89672 : Lehnerdt, Maximilian 1861-1945?",,,,,,,,
582,"Rabe, Hugo",,,,,,,,,
583,"89697 : Madvig, J. N. (Johan Nikolai), 1804-1886",,,,,,,,,
584,"Gneist, Rudolph, 1816-1895.",,,,,,,,,
585,"Gneist, Rudolph, 1816-1895",,,,,,,,,
586,"89691 : Bonnell, Eduard, 1802-1877",,,,,,,,,
587,"89691 : Bonnell, Eduard, 1802-1877",,,,,,,,,
588,"89691 : Bonnell, Eduard, 1802-1877",,,,,,,,,
589,"84191 : Zachariä von Lingenthal, Karl Eduard, 1812-1894",,,,,,,,,
590,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
591,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
592,"Cumont, Franz, 1868-1947"," Bidez, Joseph, 1867-1945",,,,,,,,
593,"89690 : Gemoll, Wilhelm, 1850-1934",,,,,,,,,
594,"89700 : Strecker, Karl, 1861-1945",,,,,,,,,
595,"89672 : Lehnerdt, Maximilian 1861-1945?",,,,,,,,,
596,"Peter, Hermann, 1837-1914",,,,,,,,,
597,"Vogel, Theodor, 1836-1912",,,,,,,,,
598,"Vogel, Theodor, 1836-1912",,,,,,,,,
599,nan,,,,,,,,,
600,"Bekker, Immanuel, 1785-1871",,,,,,,,,
601,"Kaiser, Paul, 1852-1917",,,,,,,,,
602,"Herding, Wilhelm",,,,,,,,,
603,"Herding, Wilhelm",,,,,,,,,
604,"89603: Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
605,"Herding, Wilhelm",,,,,,,,,
606,"89672 : Lehnerdt, Maximilian 1861-1945?",,,,,,,,,
607,"89682 : Lohmeyer, Carl Friedrich Wilhelm, 1868-",,,,,,,,,
608,"89682 : Lohmeyer, Carl Friedrich Wilhelm, 1868-",,,,,,,,,
609,nan,,,,,,,,,
610,"89593 : Flemisch, Michael, 1873-",,,,,,,,,
611,"89593 : Flemisch, Michael, 1873-",,,,,,,,,
612,"84108 : Keil, Heinrich, 1822-1894"," Hagen, Hermann, 1844-1898",,,,,,,,
613,"89680 : Funaioli, Gino, 1878-1958",,,,,,,,,
614,"89680 : Funaioli, Gino, 1878-1958",,,,,,,,,
615,"Álvares, Manuel, 1526-1583",,,,,,,,,
616,"Breysig, Alfred August Bernhard, 1831-1902",,,,,,,,,
617,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
618,"89560 : Halm, Karl, 1809-1882"," Andresen, Georg, 1845-",,,,,,,,
619,"89678 : Bubnov, Nikolaĭ, 1858",,,,,,,,,
620,"89596 : Gelzer, Heinrich, 1847-1906",,,,,,,,,
621,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
622,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
623,"84104 : Kübler, Bernhard, 1859-1940"," 89616 : Seckel, Emil, 1864-1924"," 89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,
624,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"," 84104 : Kübler, Bernhard, 1859-1940"," 89616 : Seckel, Emil, 1864-1924",,,,,,,
625,"Krueger, Paul, 1840-1926",,,,,,,,,
626,"89607 : Lang, Carl, 1841-",,,,,,,,,
627,"89601 : Holder, Alfred, 1840-1916",,,,,,,,,
628,"89684: Merkel, Rudolf, 1811-1885",,,,,,,,,
629,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
630,"89675: Schullian, Dorothy M. (Dorothy May), 1906-1989"," 84102 : Kempf, Carolus, 1819-1894",,,,,,,,
631,"84053 : Dietsch, Heinrich Rudolf, 1814-1875"," 89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,,,,,
632,"84053 : Dietsch, Heinrich Rudolf, 1814-1875"," 84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,,,,,,,
633,"84053 : Dietsch, Heinrich Rudolf, 1814-1875"," 84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,,,,,,,
634,"84143 : Rühl, Franz, 1845-1916",,,,,,,,,
635,"89607 : Lang, Carl, 1841-",,,,,,,,,
636,"89591 : Carter, Jesse Benedict, 1872-1917",,,,,,,,,
637,"89679 : Fickelscherer, Martin",,,,,,,,,
638,"89609 : Novati, Francesco, 1859-1915",,,,,,,,,
639,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,,,,,
640,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,,,,,
641,"89578 : Meister, Ferdinand Otto, 1828-1915",,,,,,,,,
642,nan,,,,,,,,,
643,nan,,,,,,,,,
644,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
645,"84140 : Rose, Valentin, 1829-1916",,,,,,,,,
646,nan,,,,,,,,,
647,nan,,,,,,,,,
648,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
649,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,,,,,
650,nan,,,,,,,,,
651,nan,,,,,,,,,
652,"84117 : Lommatzsch, Ernst, 1871-1949",,,,,,,,,
653,"89687 : Wohlrab, Martin, 1834-1913"," 84094 : Hermann, Karl Friedrich, 1804-1855",,,,,,,,
654,nan,,,,,,,,,
655,nan,,,,,,,,,
656,"89615 : Schubart, Johann Heinrich Christian, 1800-1885",,,,,,,,,
657,"89685 : Nauck, C. W. (Carl Wilhelm), 1813-"," Krüger, G. T. A. (Georg Theodor August), 1793-1873",,,,,,,,
658,nan,,,,,,,,,
659,"84134 : Peiper, Rudolf, 1834-1898",,,,,,,,,
660,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937"," 89677 : Thewrewk, Emil, Ponori, 1838-1917",,,,,,,,
661,nan,,,,,,,,,
662,nan,,,,,,,,,
663,nan,,,,,,,,,
664,nan,,,,,,,,,
665,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
666,nan,,,,,,,,,
667,nan,,,,,,,,,
668,nan,,,,,,,,,
669,nan,,,,,,,,,
670,nan,,,,,,,,,
671,"Wesenberg, Albert Sadolin, 1804-1876",,,,,,,,,
672,"Schenkl, Heinrich, 1859-1919",,,,,,,,,
673,"Schenkl, Heinrich, 1859-1919",,,,,,,,,
674,"Helmreich, Georg, 1849-1921",,,,,,,,,
675,"Helmreich, Georg, 1849-1921",,,,,,,,,
676,"Eyssenhardt, Franz, 1838-1901",,,,,,,,,
677,"Gilbert, Walther, 1851-",,,,,,,,,
678,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
679,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
680,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
681,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
682,nan,,,,,,,,,
683,"Gilbert, Walther, 1851-",,,,,,,,,
684,"Gilbert, Walther, 1851-",,,,,,,,,
685,"Gilbert, Walther, 1851-",,,,,,,,,
686,"Gilbert, Walther, 1851-",,,,,,,,,
687,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,,,,,
688,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,,,,,
689,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,,,,,
690,"Gast, Ernst-Reinhard 1842-1904",,,,,,,,,
691,"Davies, John, 1679-1732"," Moser, Georg Heinrich, 1780-1858",,,,,,,,
692,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
693,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
694,"89575 : Klotz, Reinhold, 1807-1870",,,,,,,,,
695,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
696,"La Sale, Antoine de, 1385?-1461?"," Knoellinger, Hermann, 1883-1914"," Friedrich, Wilhelm"," 89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,
697,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
698,"Wesenberg, Albert Sadolin, 1804-1876"," 89575 : Klotz, Reinhold, 1807-1870",,,,,,,,
699,"89699 : Rossbach, Otto, 1858-1931",,,,,,,,,
700,"Frey, Joseph, 1834-1910",,,,,,,,,
701,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
702,"84095 : Hertz, Martin",,,,,,,,,
703,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
704,"Chatelain, Émile, 1851-1933",,,,,,,,,
705,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
706,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
707,nan,,,,,,,,,
708,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
709,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
710,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
711,"84095 : Hertz, Martin",,,,,,,,,
712,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
713,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
714,"Heraeus, W. (Wilhelm), 1862-1938"," 84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,
715,"84128 : Müller, Moritz, 1854-"," 84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,
716,"84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,,
717,"84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,,
718,"84187 : Weissenborn, Wilhelm, 1803-1878",,,,,,,,,
719,"84128 : Müller, Moritz, 1854-",,,,,,,,,
720,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
721,"Brummer, Jacob"," Georges, Heinrich, 1852-1921",,,,,,,,
722,"89697 : Madvig, J. N. (Johan Nikolai), 1804-1886",,,,,,,,,
723,"Weil, Henri, 1818-1909",,,,,,,,,
724,"Weil, Henri, 1818-1909",,,,,,,,,
725,"Nauck, August, 1822-1892",,,,,,,,,
726,"Mekler, S. (Siegfried), 1852-1912"," Dindorf, Wilhelm, 1802-1883",,,,,,,,
727,"89698 : Richter, Gustav, 1838-1904"," 84134 : Peiper, Rudolf, 1834-1898",,,,,,,,
728,"89698 : Richter, Gustav, 1838-1904"," 84134 : Peiper, Rudolf, 1834-1898",,,,,,,,
729,"84107 : Jeep, Justus Wilhelm Linde, 1799-1884",,,,,,,,,
730,"Merzdorf, J. F. L. Theodor (Johann Friedrich Ludwig Theodor), 1812-1877",,,,,,,,,
731,"Merzdorf, J. F. L. Theodor (Johann Friedrich Ludwig Theodor), 1812-1877",,,,,,,,,
732,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
733,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
734,"84102 : Kempf, Carolus, 1819-1894",,,,,,,,,
735,"84102 : Kempf, Carolus, 1819-1894",,,,,,,,,
736,"84141 : Rossbach, August, 1823-1898",,,,,,,,,
737,"Weber, Ernestus"," Thederingus, Hermann"," Gruterus, Janus, 1560-1627"," Melissus, Paulus, 1539-1602"," 71395 : Hessus, Helius Eobanus, 1488-1540"," Meurer, Wolfgang, 1513-1585",,,,
738,"Künstle, Karl, 1859-1932",,,,,,,,,
739,"89560 : Halm, Karl, 1809-1882",,,,,,,,,
740,"Brummer, Jacob",,,,,,,,,
741,nan,,,,,,,,,
742,"84140 : Rose, Valentin, 1829-1916",,,,,,,,,
743,nan,,,,,,,,,
744,"Baehrens, W. A. (Willem Adolf), 1885-1929"," 84045 : Baehrens, Emil, 1848-1888",,,,,,,,
745,"84045 : Baehrens, Emil, 1848-1888",,,,,,,,,
746,nan,,,,,,,,,
747,nan,,,,,,,,,
748,nan,,,,,,,,,
749,nan,,,,,,,,,
750,"Klotz, Alfred, 1874-1956",,,,,,,,,
751,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
752,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937",,,,,,,,,
753,"84176 : Schöll, Fritz, 1850-1919"," 84089 : Goetz, Georg, 1849-1932",,,,,,,,
754,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937",,,,,,,,,
