Nid,Node UUID,Title,Authorized Name,Author Name Latin,Author Name English,Author Name Native Language,Also known as,Other Alternative Name Form(s),Author Birth Date,Author Death Date,Floruit/Active,Modern Geographic Identity,Ancient Geographic Identity,Time Period,Source,LoC Source,LofC URI,LoC ID,VIAF Source,VIAF ID,PHI Author Name,PHI Number,PHI or Stoa Number,DigilibLT Number,Perseus Name,Stoa Number,Perseus URN,CTS URN,Author Name Abbreviations,Path,Post date,BNE Name,BNE URL,BNF Name,BNF URL,DNB Name,DNB URL,ICCU Name,ICCU URL,ISNI Name,ISNI URL,Wikidata URL,Wikipedia,WorldCat Identity,DLL Identifier,DLL Number
45064,1f36581a-7e20-490b-9dc6-fdd21b1caa02,"45064 : Hugues, de Fleury","Hugues, de Fleury",Hugo Floriacensis,Hugh of Fleury,,,,,1130 A.D.,12th Century A.D.,"Saint-Benoît-sur-Loire, France",,Medieval,,http://lccn.loc.gov/no2007092082,https://id.loc.gov/authorities/names/no2007092082,no2007092082,http://viaf.org/viaf/9629473,9629473,,,,,,,,,,/alli/author/591,9/28/2016 15:13,,,,,,,,,,,https://www.wikidata.org/entity/Q330515#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Hugh_of_Fleury,https://www.worldcat.org/identities/lccn-no2007092082,A4964,4964
45065,6344435a-f312-4bb0-a182-b3cd9ceca5cb,"45065 : Aldebald, of Lérins ","Aldebald, of Lérins ",Aldebaldus Lerinensis,Aldebald of Lérins ,,,,,,10th Century A.D. - 11th Century A.D.,"Île Saint-Honorat, France",,Medieval,,,,,http://viaf.org/viaf/443598,443598,,,,,,,,,,/alli/author/592,9/28/2016 15:13,,,,,Aldebaldus Lerinensis ca. 10./11. Jh.,http://d-nb.info/gnd/104275693,,,,,,,,A4973,4973
45067,0bd33c62-5de4-4bd3-850f-c229541737ed,"45067 : Placidus, Monachus","Placidus, Monachus",Placidus,Monk Placidus,,,,,,5th Century A.D.,,,Medieval,,,,,,,,,,,,stoa0230a,,urn:cts:latinLit:stoa0230a,,/alli/author/594,9/28/2016 15:13,,,,,,,,,,,,,,A5018,5018
45070,9741b654-d101-4ae6-a60f-977df83841cf,"45070 : Montanus, Saint, Archbishop of Toledo","Montanus, Saint, Archbishop of Toledo",Montanus Toletanus,Saint Montanus,,,,,531 A.D.,6th Century A.D.,"Toledo, Spain","Toletum, Hispania Tarraconensis",Classical,,http://lccn.loc.gov/no2005016605,https://id.loc.gov/authorities/names/no2005016605,no2005016605,http://viaf.org/viaf/32343959,32343959,,,,,Montanus Toletanus -531,stoa0203c,,urn:cts:latinLit:stoa0203c:,,/alli/author/597,9/28/2016 15:13,,,,,Montanus Toletanus -531,http://d-nb.info/gnd/100526756,,,Montanus de Tolède 04..-0531?,http://isni.org/isni/0000000005101370,,,,A4985,4985
45071,77f13af9-a33b-4074-9523-8fad2a1716ef,"45071 : Moses, of Bergamo","Moses, of Bergamo",Moses Bergamensis,,Mosè del Brolo,,,,,12th Century A.D.,"Bergamo, Italy",,Medieval,,,,,http://viaf.org/viaf/258105539,258105539,,,,,,,,,,/alli/author/598,9/28/2016 15:13,,,,,Moses Bergamensis ca. 12. Jh.,http://d-nb.info/gnd/10095412X,,,"Del Brolo, Mosè sec. XII",http://isni.org/isni/0000000379580599,https://www.wikidata.org/entity/Q3327093#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Moses_of_Bergamo,,A4991,4991
45072,8589b6ab-81e9-40df-b1aa-e38e7a16c623,"45072 : Julianus, Saint, Bishop of Toledo","Julianus, Saint, Bishop of Toledo",Iulianus Toletanus,Saint Julian of Toledo,,,,,690 A.D.,7th Century A.D.,"Toledo, Spain",,Medieval,,https://lccn.loc.gov/n82074166,http://id.loc.gov/authorities/names/n82074166,n82074166,http://viaf.org/viaf/22163616,22163616,,,,,"Julianus, Saint, Bishop of Toledo, -690 (Iulianus Toletanus)",stoa0165a,,,,/alli/author/599,9/28/2016 15:13,,,,,,,,,,,,,,A4967,4967
45073,e135320d-69df-4557-b93e-3a10e3790943,"45073 : Aldhelm, Saint","Aldhelm, Saint",Aldhelmus Scireburnensis,Aldhelm of Sherborne,Aldhelm of Malmesbury,,,640 A.D.,709 A.D.,7th Century A.D. - 8th Century A.D.,,,Medieval,,http://lccn.loc.gov/n84154670,https://id.loc.gov/authorities/names/n84154670,n84154670,http://viaf.org/viaf/9867251,9867251,,,,,"Aldhelm, Saint, 640?-709",stoa0020a,,urn:cts:latinLit:stoa0020a:,,/alli/author/600,9/28/2016 15:13,,,Aldhelm 0639?-0709 saint,http://catalogue.bnf.fr/ark:/12148/cb12053960j,Aldhelmus Schireburnensis 640-709,http://d-nb.info/gnd/11905261X,,,Aldhelm ca 640-709) (św. ;,http://isni.org/isni/000000010868592X,https://www.wikidata.org/entity/Q709718#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Aldhelm,https://www.worldcat.org/identities/lccn-n84154670,A5010,5010
45074,0da1ca15-1ba7-46a3-962f-0b68e8b6e1e9,"45074 : Aethelwold, of East Anglia","Aethelwold, of East Anglia",,Æthelwold of East Anglia,,,,,,7th Century A.D.,England,,Medieval,http://oxfordindex.oup.com/view/10.1093/oi/authority.20110803095354135?rskey=sBo...,,,,,,,,,,,,,,,/alli/author/601,9/28/2016 15:13,,,,,,,,,,,,,,A5034,5034
45075,0f2d601e-b8ac-4d6d-9690-c6366a0d41fc,"45075 : Verecundus, Bishop of Junca","Verecundus, Bishop of Junca",Verecundus Iuncensis,Verecundus of Junca,,,,,552 A.D.,6th Century A.D.,Africa,,Classical,,http://lccn.loc.gov/nr87000255,https://id.loc.gov/authorities/names/nr87000255,nr87000255,http://viaf.org/viaf/79254520,79254520,,,,,,,,,,/alli/author/602,9/28/2016 15:13,,,,,Verecundus Iuncensis -552,http://d-nb.info/gnd/100963781,,,Verecundus Iuncensis 05..-0552?,http://isni.org/isni/0000000080164398,https://www.wikidata.org/entity/Q2514641#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-nr87000255,A5515,5515
45076,d65fe076-78bc-4a96-ba75-4eeac6d4ef17,"45076 : Nalgod, of Cluny","Nalgod, of Cluny",Nalgoldus Cluniacensis,,,,,,,11th Century A.D.,"Cluny, France",,Medieval,,,,,http://viaf.org/viaf/35185422,35185422,,,,,,,,,,/alli/author/603,9/28/2016 15:13,,,Nalgodus Cluniacensis,http://catalogue.bnf.fr/ark:/12148/cb16844076d,Nalgoldus Cluniacensis ca. um 1090/99,http://d-nb.info/gnd/115396594,,,,,,,,A5523,5523
45077,2cce4036-fb99-476f-a152-fa4bf5363d2a,45077 : Nazarius (Panegyrist),Nazarius (Panegyrist),Nazarius,,,,,,,4th Century A.D.,"Rome, Italy",,Classical,,http://lccn.loc.gov/n2016014684,https://id.loc.gov/authorities/names/n2016014684,n2016014684,http://viaf.org/viaf/88766125,88766125,,,,AUT000145,,,,,,/alli/author/604,9/28/2016 15:13,,,,,,,,,Nazarius f. 322 retore,http://isni.org/isni/0000000062754300,,,https://www.worldcat.org/identities/lccn-n2016014684,A5022,5022
45078,283c1009-5d53-4c82-9b4b-a8aee14e75c5,"45078 : Nepos, Cornelius","Nepos, Cornelius",Cornelius Nepos,Cornelius Nepos,Cornelius Nepos,,,Approximately 100 B.C.,Approximately 25 B.C.,1st Century B.C.,,Gallia Cisalpina,Classical,http://www.oxfordreference.com/view/10.1093/acref/9780198606413.001.0001/acref-9...,http://lccn.loc.gov/n50004515,https://id.loc.gov/authorities/names/n50004515,n50004515,http://viaf.org/viaf/100219060,100219060,Cornelius Nepos,phi0588,phi0588,,"Nepos, Cornelius",stoa0210,,urn:cts:latinLit:phi0588:,Nep. (OLD),/alli/author/605,9/28/2016 15:13,"Nepote, Cornelio",http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX1723450,Nepos Cornelius 0100?-0025? av. J.-C.,http://catalogue.bnf.fr/ark:/12148/cb11985468f,"Nepos, Cornelius v100-v25",http://d-nb.info/gnd/118747681,Cornelius Nepos,http://id.sbn.it/af/IT\ICCU\CFIV\011643,"Nepos, Cornelius c. 99-24 a.C.",http://isni.org/isni/0000000121452020,https://www.wikidata.org/entity/Q109594#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Cornelius_Nepos,https://www.worldcat.org/identities/lccn-n50004515,A5005,5005
45079,3345c638-c6b4-4956-82a5-0822cf81d4e8,"45079 : Nestorius, Patriarch of Constantinople","Nestorius, Patriarch of Constantinople",Nestorius Constantinopolitanus,,Nestorius,,,,,5th Century A.D.,"Istanbul, Turkey","Constantinopolis, Thracia (Patriarch)",Classical,,http://lccn.loc.gov/n50081482,https://id.loc.gov/authorities/names/n50081482,n50081482,http://viaf.org/viaf/12387551,12387551,,,,,,,,,,/alli/author/606,9/28/2016 15:13,,,Nestorius 0380?-0451?,http://catalogue.bnf.fr/ark:/12148/cb12372287b,Nestorius Constantinopolitanus ca. um 381-451,http://d-nb.info/gnd/118943170,,,Nestorius 0380?-0451?,http://isni.org/isni/0000000374514349,https://www.wikidata.org/entity/Q185073#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Nestorius,https://www.worldcat.org/identities/lccn-n50081482,A5043,5043
45080,57c59005-fc9a-44c6-9d00-ee6163be6599,"45080 : Nicetas, of Remesiana, Saint","Nicetas, of Remesiana, Saint",Nicetas Remesianensis,Saint Nicetas,Nicetas Aquileiensis,,,,414 A.D.,5th Century A.D.,"Bela Palanka, Serbia","Remesiana, Moesia Superior",Classical,,http://lccn.loc.gov/n81047968,https://id.loc.gov/authorities/names/n81047968,n81047968,http://viaf.org/viaf/60401117,60401117,,,,,"Nicetas, of Remesiana, Saint, -approximately 414",stoa0211a,,urn:cts:latinLit:stoa0211a:,,/alli/author/607,9/28/2016 15:13,Nicetas de Remesiana,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX934738,Nicétas de Rémésiana 0341?-0414?,http://catalogue.bnf.fr/ark:/12148/cb13486665m,Nicetas Remesianensis ca. -nach 414,http://d-nb.info/gnd/118786075,,,Nicétas de Rémésiana 0341?-0414?,http://isni.org/isni/0000000079762390,https://www.wikidata.org/entity/Q2743461#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Nicetas_of_Remesiana,https://www.worldcat.org/identities/lccn-n81047968,A5037,5037
45081,f1259b9f-92d5-4acf-99ce-bd68105f7084,"45081 : Nicetius, of Trier","Nicetius, of Trier",Nicetius Trevirensis,"Nicetius, Bishop of Trier",Saint Nizier,,,,,6th Century A.D.,"Trier, Germany","Augusta Treverorum, Gallia Belgica",Classical,,,,,http://viaf.org/viaf/18028323,18028323,,,,,Nicetius Trevirensis Episcopus,stoa0211b,,urn:cts:latinLit:stoa0211b:,,/alli/author/608,9/28/2016 15:13,,,,,Nicetius Treverensis -565,http://d-nb.info/gnd/119288249,,,,,https://www.wikidata.org/entity/Q262242#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Nicetius,,A5520,5520
