,Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
478,https://catalog.hathitrust.org/Record/002965783,,"84108 : Keil, Heinrich, 1822-1894;Hagen, Hermann, 1844-1898",,Grammatici latini ex recensione Henrici Keilii ...,Lipsiae,in aedibus B. G. Teubneri,1855,https://catalog.hathitrust.org/Record/002965783,1855,,7 v.,,,Hathi Trust,Harvard University,Latin language; Early to 1500; Grammar; Metrics and rhythmics.,
464,https://catalog.hathitrust.org/Record/001724582,,"91862 : Peter, Hermann, 1837-1914",,Historicorum romanorum fragmenta.,Lipsiae,in aedibus B. G. Teubneri,1883,https://catalog.hathitrust.org/Record/001724582,1883,428 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,Rome.; Historians,
282,https://catalog.hathitrust.org/Record/011538559,,"91713 : Ribbeck, Otto, 1827-1898",,Scenicae Romanorum poesis fragmenta,Lipsiae,in aedibus B. G. Teubneri,1852,https://catalog.hathitrust.org/Record/011538559,1852,,2 v.,,,Hathi Trust,Harvard University,Latin poetry.; Latin drama.,
276,https://catalog.hathitrust.org/Record/001058158,,"91713 : Ribbeck, Otto, 1827-1898",,Scaenicae Romanorvm poesis fragmenta tertiis cvris recognovit Otto Ribbeck ...,Lipsiae,in aedibus B. G. Teubneri,1897,https://catalog.hathitrust.org/Record/001058158,1897,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,Latin drama (Comedy); Latin drama (Tragedy),
432,https://catalog.hathitrust.org/Record/100227123,,"84117 : Lommatzsch, Ernst, 1871-1949;84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922",,Anthologia latina: sive poesis latinae supplementum,Lipsiae,in aedibus B.G. Teubneri,1894,https://catalog.hathitrust.org/Record/100227123,1894,,2,,,HathiTrust,Harvard University,"Latin poetry.; Epigrams, Latin.",
433,https://catalog.hathitrust.org/Record/008882718,,"84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908",,"Anthologia Latina, sive, Poesis Latinae supplementum",Lipsiae,in aedibus B. G. Teubneri,1894,https://catalog.hathitrust.org/Record/008882718,1894,,2,,,HathiTrust,Princeton Univeristy,"Latin poetry.; Epigrams, Latin.",
434,https://catalog.hathitrust.org/Record/008559503,,"84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922",,"Anthologia latina, sive poesis latinae supplementum",Lipsiae,in aedibus B.G. Teubneri,1894,https://catalog.hathitrust.org/Record/008559503,1894,,,,,HathiTrust,University of Minnesota,"Latin poetry.; Epigrams, Latin.",
179,https://catalog.hathitrust.org/Record/100570364,,"84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922",,"Anthologia Latina, sive Poesis Latinae supplementum.",Lipsiae,in aedibus B. G. Teubneri,1869,https://catalog.hathitrust.org/Record/100570364,1869,,2,,,HathiTrust,University of Illinois at Urbana-Champaign,,
435,https://catalog.hathitrust.org/Record/009779965,,"84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908",,Anthologia latina sive poesis latinae svpplementvm.,Lipsiae,in aedibus B. G. Teubneri,1869,https://catalog.hathitrust.org/Record/009779965,1869,,2 v.,,,HathiTrust,University of Virginia,"Collections.; Latin poetry; Epigrams, Latin.",
436,https://catalog.hathitrust.org/Record/100639138,,"84117 : Lommatzsch, Ernst, 1871-1949;84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908",,"Anthologia latina, sive poesis latinae supplementum",Lipsiae,in aedibus B. G. Teubneri,1870,https://catalog.hathitrust.org/Record/100639138,1870,,2 v.,,,HathiTrust,University of California,Latin poetry.,
305,https://catalog.hathitrust.org/Record/008884028,,"84045 : Baehrens, Emil, 1848-1888",,Poetae latini minores.,Lipsiae,in aedibus B. G. Teubneri,1879,https://catalog.hathitrust.org/Record/008884028,1879,,6 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,Latin poetry.,
307,https://catalog.hathitrust.org/Record/011245937,,"84045 : Baehrens, Emil, 1848-1888",,Poetae latini minores.,Lipsiae,in aedibus B. G. Teubneri,1879,https://catalog.hathitrust.org/Record/011245937,1879,,6 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Northwestern University,Latin poetry.,
365,https://catalog.hathitrust.org/Record/008620196,,"91845 : Löwe, Gustav, 1852-1883;84089 : Goetz, Georg, 1849-1932",,Corpus glossariorum Latinorum a Gustavo Loewe,Lipsiae,in aedibus B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/008620196,1888,,7 v.,,,Hathi Trust,New York Public Library,Latin language; Dictionaries.,
366,https://catalog.hathitrust.org/Record/001057895,,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937;84189 : Wessner, Paul, 1870-1933;91820 : Heraeus, W. (Wilhelm), 1862-1938;89694 : Gundermann, Gotthold, 1856-1921;91845 : Löwe, Gustav, 1852-1883;84089 : Goetz, Georg, 1849-1932",,Corpus glossariorum latinorum,Lipsiae,in aedibus B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/001057895,1888,,7 v.,,,Hathi Trust,University of Michigan,"Latin language; English language; Glossaries, vocabularies, etc.; Glossography.; Greek language; Old English, ca. 450-1100",
367,https://catalog.hathitrust.org/Record/001724538,,"91885 : Thulin, Carl, 1871-1921",,"Corpus agrimensorum Romanorum. Vol. 1, Fasc. 1.",Lipsiae,in aedibus B. G. Teubneri,1913,https://catalog.hathitrust.org/Record/001724538,1913,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
394,https://catalog.hathitrust.org/Record/100329983,,"89530 : Jahnke, Richard, 1868-1933",,Comoediae Horatianae tres.,Lipsiae,in aedibus B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/100329983,1891,109 p.,,,Bibliotheca scriptorum medii aevi Teubneriana,HathiTrust,Harvard University,Latin poetry; Medieval and modern.,
122,https://catalog.hathitrust.org/Record/009407634,,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,Jurisprudentiae antejustinianae quae supersunt,Lipsiae,in aedibus B. G. Teubneri,1879,https://catalog.hathitrust.org/Record/009407634,1879,842 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,History; Roman law; Sources.,
125,https://catalog.hathitrust.org/Record/000347413,,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,Ivrisprvdentiae anteivstinianae qvae svpersvnt.,Lipsiae,in aedibus B. G. Teubneri,1886,https://catalog.hathitrust.org/Record/000347413,1886,880 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Illinois at Urbana-Champaign,History; Roman law; Sources.,
129,https://catalog.hathitrust.org/Record/012158872,,"89692 : Bremer, F. P. (Franz Peter), 1832-",,Iurisprudentiae antehadrianae quae supersunt,Lipsiae,in aedibus B. G. Teubneri,1896,https://catalog.hathitrust.org/Record/012158872,1896,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,History.; Roman law; Sources.,
569,https://catalog.hathitrust.org/Record/100390589,,"91891 : Weber, Ernst, 1873;Thederingus, Hermann;Gruterus, Janus, 1560-1627;89796 : Melissus, Paulus, 1539-1602;71395 : Hessus, Helius Eobanus, 1488-1540;91853 : Meurer, Wolfgang, 1513-1585",,"Virorum clarorum saeculi XVI et XVII epistolae selectae, e codicibus manuscriptis Gottingensibus",Lipsiae,in aedibus B. G. Teubneri,1894,https://catalog.hathitrust.org/Record/100390589,1894,195 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,Medieval and modern.; Latin letters,
497,https://catalog.hathitrust.org/Record/100328250,,"89591 : Carter, Jesse Benedict, 1872-1917",,Epitheta deorum quae apud poetas latinos leguntur,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/100328250,1902,154 p.,,,,Hathi Trust,Harvard University,"Latin language; Dictionaries.; Epithets.; Mythology, Roman",
156,https://catalog.hathitrust.org/Record/007964412,,"91731 : Frick, Karl, 1848-",,Chronica minora collegit et emendavit Carolvs Frick.,Lipsiae,in aedibus B. G. Teubneri,1892,https://catalog.hathitrust.org/Record/007964412,1892,,,,,HathiTrust,University of Wisconsin - Madison,,
316,https://catalog.hathitrust.org/Record/001406263,,"91875 : Schermann, Theodor, 1878-1922",,Prophetarum vitae fabulosae,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/001406263,1907,255 p.,,,,Hathi Trust,University of Michigan,Apostles; Legends.; Prophets,
317,https://catalog.hathitrust.org/Record/102144392,,"91793 : Claussen, Johannes Diederich Detlef, 1849-1929",,Quaestiones Quintilianeae.,Lipsiae,B. G. Teubner,1873,https://catalog.hathitrust.org/Record/102144392,1873,394 p.,,,,Hathi Trust,University of Illinois at Urbana-Champaign,,
