Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
https://catalog.hathitrust.org/Record/001769478,"49624 : Donatus, Tiberius Claudius; Georges, Heinrich, 1852-1921",,,Tiberi Claudi Donati ad Tiberium Claudium Maximum Donatianum filium suum Interpretationes Vergilianae; primum ad vetustissimorum codicum fidem recognitas edidit Henricus Georgii ...,Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/001769478,1905,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
https://catalog.hathitrust.org/Record/100882733,,,,"Thesaurus linguae latinae, editus auctoritate et consilio academiarum quinque Germanicarum Berolinensis Gottingensis Lipsiensis Monacensis Vindobenensis: index librorum scriptorum inscriptionum ex quibus exempla adferuntur.",Lipsiae,in aedibus B. G. Teubneri,1904,https://catalog.hathitrust.org/Record/100882733,1904,109 p.,,,,Hathi Trust,Michigan State University,Latin language; Dictionaries.,
https://catalog.hathitrust.org/Record/008895803,,,,Thesaurus linguae Latinae,Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/008895803,1900,,,,,Hathi Trust,University of California,fast; Latin language; Latin language.; Dictionaries.; (OCoLC)fst00993125; (OCoLC)fst01423826; Dictionnaires latins.; Dictionnaires.; gtt; Latijn.; Latin (Langue); Philologie latine,
https://catalog.hathitrust.org/Record/100322750,"45396 : Statius, P. Papinius (Publius Papinius)","91835 : Klotz, Alfred, 1874-1956",,Thebais.,Lipsiae,in aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/100322750,1908,,,,,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/001809466,"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",,T. Macci Plavti Comoediae,Lipsiae,B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/001809466,1891,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
https://catalog.hathitrust.org/Record/100572737,"45336 : Plautus, Titus Maccius","84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932",,T. Macci Plavti Comoediae,Lipsiae,in aedibus B. G. Teubneri,1904,https://catalog.hathitrust.org/Record/100572737,1904,161 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Illinois at Urbana-Champaign,,
https://catalog.hathitrust.org/Record/100642463,"45336 : Plautus, Titus Maccius","84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932",,T. Macci Plavti Comoediae,Lipsiae,in aedibus B. G. Teubneri,1896,https://catalog.hathitrust.org/Record/100642463,1896,165 p.,,,,Hathi Trust,University of Illinois at Urbana-Champaign,Latin drama (Comedy),
https://catalog.hathitrust.org/Record/011665884,"45336 : Plautus, Titus Maccius","84138 : Ritschl, Friedrich Wilhelm, 1806-1876;89571 : Fleckeisen, Alfred, 1820-1899",,T. Macci Plavti Comoediae,Lipsiae,B.G. Teubneri,1879,https://catalog.hathitrust.org/Record/011665884,1879,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
https://catalog.hathitrust.org/Record/009624033,"45336 : Plautus, Titus Maccius","91713 : Ribbeck, Otto, 1827-1898",,T. Macci Plauti Miles gloriosus.,Lipsiae,in aedibus B. G. Teubneri,1881,https://catalog.hathitrust.org/Record/009624033,1881,106 p.,,,,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/008910456,"45336 : Plautus, Titus Maccius","84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932",,T. Macci Plauti Comoediae,Lipsiae,in aedibus B. G. Teubneri,1895,https://catalog.hathitrust.org/Record/008910456,1895,,7 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,,
