Index,Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
436,"44691 : Dares, Phrygius","89578 : Meister, Ferdinand Otto, 1828-1915",,Daretis Phrygii De excidio Troiae historia,Lipsiae,B. G. Teubner,1873,https://catalog.hathitrust.org/Record/001181964,1873,67 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana,Hathi Trust,Harvard University,Troy (Extinct city),
440,44692 : Juvenal; 45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",,D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira.,Lipsiae,B. G. Teubner,1883,https://catalog.hathitrust.org/Record/012323963,1883,118 p.,,,,Hathi Trust,Cornell University,,
441,44692 : Juvenal; 45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",,D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae   Satira.,Lipsiae,B. G. Teubner,1865,https://catalog.hathitrust.org/Record/009787730,1865,118 p.,,,,Hathi Trust,University of Virginia,,
476,45907 : Scribonius Largus,"Helmreich, Georg, 1849-1921",,Conpositiones,Lipsiae,B. G. Teubner,1887,https://catalog.hathitrust.org/Record/012445090,1887,123 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. [S. r.],Hathi Trust,Cornell University,,
488,"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",,Comoediae,Lipsiae,B. G. Teubner,1850,https://catalog.hathitrust.org/Record/100739953,1850,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. S.R.,HathiTrust,University of Chicago,,
492,"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",,Comoediae,Lipsiae,B. G. Teubner,1885,https://catalog.hathitrust.org/Record/008911608,1885,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. S. R.,HathiTrust,Princeton University,,
493,45409 : Terence.,"89571 : Fleckeisen, Alfred, 1820-1899",,Comoediae,Lipsiae,B. G. Teubner,1857,https://catalog.hathitrust.org/Record/008418512,1857,343 p.,,,,HathiTrust,Columbia University,,
518,"44757 : Eutropius, active 4th century","84143 : Rühl, Franz, 1845-1916",,Breviarium ad urbe condita.,Lipsiae,B. G. Teubner,1897,https://catalog.hathitrust.org/Record/011742710,1897,90 p.,,,,HathiTrust,Cornell University,Rome; History.,
527,"45336 : Plautus, Titus Maccius","84176 : Schöll, Fritz, 1850-1919; 84089 : Goetz, Georg, 1849-1932",,Aulularia.,Lipsiae,B. G. Teubner,1893,https://catalog.hathitrust.org/Record/002932169,1893,158 p.,,,,HathiTrust,University of Michigan,,
584,"44963 : Firmicus Maternus, Julius","89589 : Ziegler, Konrat, 1884-1974",,Iuli Firmici Materni v.c. De errore profanarum religionum,Lipsiae,B. G. Teubner,1907,https://catalog.hathitrust.org/Record/006524276,1907,120 p.,,,,Hathi Trust,Harvard University,,
