,Index,DLL Author,DLL Editors,Same or Different?,DLL Works Rachel,DLL Works SJH,Title,Place,Publisher,Date,Archive,Library Catalog,,,,,,
440,https://catalog.hathitrust.org/Record/100680205,44536 : Boethius,"84123 : Meiser, Karl, 1843-1912",Same,Peri hermeneias liber Aristotelis latine uersus (84194);In librum Aristotelis Peri hermeneias commentarii (82533),Peri hermeneias liber Aristotelis latine uersus (84194);In librum Aristotelis Peri hermeneias commentarii (82533),Anicii Manlii Severini Boetii Commentarii in librum Aristotelis Peri hermēneias,Lipsiae,in aedibus B. G. Teubneri,1877,https://catalog.hathitrust.org/Record/100680205,1877,,2 v.,,,HathiTrust,University of Minnesota
441,https://catalog.hathitrust.org/Record/100245318,44536 : Boethius,"84123 : Meiser, Karl, 1843-1912",Same,Peri hermeneias liber Aristotelis latine uersus (84194);In librum Aristotelis Peri hermeneias commentarii (82533),Peri hermeneias liber Aristotelis latine uersus (84194);In librum Aristotelis Peri hermeneias commentarii (82533),Anicii Manlii Severini Boetii Commentarii in librum Aristotelis [Peri hermēneias],Lipsiae,in aedibus B.G. Teubneri,1877,https://catalog.hathitrust.org/Record/100245318,1877,,2,,,HathiTrust,University of California
46,https://catalog.hathitrust.org/Record/100794219,"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870",Same,Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978),Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978),"M. Tullii Ciceronis Orationes pro P. Quinctio, pro Sex. Roscio Amerino, pro Q. Roscio Comoedo.",Lipsiae,B.G. Teubner,1877,https://catalog.hathitrust.org/Record/100794219,1877,86 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California
64,https://catalog.hathitrust.org/Record/100151423,"45036 : Cicero, Marcus Tullius","91835 : Klotz, Alfred, 1874-1956",Same,Pro S. Roscio Amerino (80983),Pro S. Roscio Amerino (80983),M. Tulii Ciceronis scholarum in usum scripta selecta.,Lipsiae,B. G. Teubner,1921,https://catalog.hathitrust.org/Record/100151423,1921,48 p.,,,,Hathi Trust,Cornell University
61,https://catalog.hathitrust.org/Record/100783165,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,Pro S. Roscio Amerino (80983);In Q. Caecilium (80950);In Verrem (80953);Pro Lege Manilia (80972);In Catilinam (80948);Pro Murena (80976),Pro S. Roscio Amerino (80983);In Q. Caecilium (80950);In Verrem (80953);Pro Lege Manilia (80972);In Catilinam (80948);Pro Murena (80976),M. Tulli Ciceronis Orationes selectae XXI,Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/100783165,1905,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Iowa
44,https://catalog.hathitrust.org/Record/009780231,"45036 : Cicero, Marcus Tullius","91893 : Wesenberg, Albert Sadolin, 1804-1876;89575 : Klotz, Reinhold, 1807-1870",Same,Pro Sestio (80985); In Vatinium (80952); Pro Caelio (80968); Epistulae ad Familiares (80943); Epistulae ad Atticum (80941); Academica (80917); De Finibus (80927); Tusculanae Disputationes (80991); De Officiis (80934); Cato Maior de Senectute (80922); Laelius de Amicitia (80955); Paradoxa Stoicorum (80960);incertorum librorum fragmenta (80954);Pro Scauro (80984);Timaeus (80989);oratio pridie quam in exilium iret (91233); In Sallustium (dub.) (80951);Incerti auctoris tractatus de adtributis personae et negotio (siue Commentarius in Ciceronis de Inuentione) (84337),Pro Sestio (80985); In Vatinium (80952); Pro Caelio (80968); Epistulae ad Familiares (80943); Epistulae ad Atticum (80941); Academica (80917); De Finibus (80927); Tusculanae Disputationes (80991); De Officiis (80934); Cato Maior de Senectute (80922); Laelius de Amicitia (80955); Paradoxa Stoicorum (80960);incertorum librorum fragmenta (80954);Pro Scauro (80984);Timaeus (80989);oratio pridie quam in exilium iret (91233); In Sallustium (dub.) (80951);Incerti auctoris tractatus de adtributis personae et negotio (siue Commentarius in Ciceronis de Inuentione) (84337),M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,sumptibus et typis B. G. Teubneri,1861,https://catalog.hathitrust.org/Record/009780231,1861,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia
538,https://catalog.hathitrust.org/Record/009780231,"45036 : Cicero, Marcus Tullius","91893 : Wesenberg, Albert Sadolin, 1804-1876;89575 : Klotz, Reinhold, 1807-1870",Same,Pro Sestio (80985); In Vatinium (80952); Pro Caelio (80968); Epistulae ad Familiares (80943); Epistulae ad Atticum (80941); Academica (80917); De Finibus (80927); Tusculanae Disputationes (80991); De Officiis (80934); Cato Maior de Senectute (80922); Laelius de Amicitia (80955); Paradoxa Stoicorum (80960);incertorum librorum fragmenta (80954);Pro Scauro (80984);Timaeus (80989);oratio pridie quam in exilium iret (91233); In Sallustium (dub.) (80951);Incerti auctoris tractatus de adtributis personae et negotio (siue Commentarius in Ciceronis de Inuentione) (84337),Pro Sestio (80985); In Vatinium (80952); Pro Caelio (80968); Epistulae ad Familiares (80943); Epistulae ad Atticum (80941); Academica (80917); De Finibus (80927); Tusculanae Disputationes (80991); De Officiis (80934); Cato Maior de Senectute (80922); Laelius de Amicitia (80955); Paradoxa Stoicorum (80960);incertorum librorum fragmenta (80954);Pro Scauro (80984);Timaeus (80989);oratio pridie quam in exilium iret (91233); In Sallustium (dub.) (80951);Incerti auctoris tractatus de adtributis personae et negotio (siue Commentarius in Ciceronis de Inuentione) (84337),M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,sumptibus et typis B. G. Teubneri,1861,https://catalog.hathitrust.org/Record/009780231,1861,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia
45,https://catalog.hathitrust.org/Record/100485588,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);,Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);,"M. Tullii Ciceronis Orationes: Pro M. Tullio, Pro M. Fonteio, Pro A. Caecina, De imperio Cn. Pompeii (Pro lege Manilia)",Lipsiae,in aedibus B. G. Teubneri,1906,https://catalog.hathitrust.org/Record/100485588,1906,99 p.,,M. Tullii Ciceronis Orationes,,Hathi Trust,Harvard University
60,https://catalog.hathitrust.org/Record/100739531,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);Pro Cluentio (80969);De Lege Agraria (80931);Pro Rabirio Perduellionis Reo (80980);In Catilinam (80948);Pro Murena (80976);Pro Sulla (80986);Pro Archia (80965);Pro Flacco (80970);Post Reditum in Senatu (80964);Post Reditum ad Populum (80963);De Domo Sua (80925);De Haruspicum Responso (80928);Epistulae ad Atticum (80941);Epistulae ad Brutum (80942);Epistula ad Octavianum (dub.) (80940),Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);Pro Cluentio (80969);De Lege Agraria (80931);Pro Rabirio Perduellionis Reo (80980);In Catilinam (80948);Pro Murena (80976);Pro Sulla (80986);Pro Archia (80965);Pro Flacco (80970);Post Reditum in Senatu (80964);Post Reditum ad Populum (80963);De Domo Sua (80925);De Haruspicum Responso (80928);Epistulae ad Atticum (80941);Epistulae ad Brutum (80942);Epistula ad Octavianum (dub.) (80940),M. Tulli Ciceronis Scripta quae manserunt omina,Lipsiae,in aedibus B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/100739531,1889,,4 v.,,,Hathi Trust,University of Chicago
68,https://catalog.hathitrust.org/Record/100739549,"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870;91844 : La Sale, Antoine de, 1385?-1461?;91836 : Knoellinger, Hermann, 1883-1914;89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);Pro Cluentio (80969);De Lege Agraria (80931);Pro Rabirio Perduellionis Reo (80980);In Catilinam (80948);Pro Murena (80976);Pro Sulla (80986);Pro Archia (80965);Pro Flacco;Post Reditum in Senatu (80964);Post Reditum ad Populum (80963);De Domo Sua (80925);De Haruspicum Responso (80928),Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);Pro Cluentio (80969);De Lege Agraria (80931);Pro Rabirio Perduellionis Reo (80980);In Catilinam (80948);Pro Murena (80976);Pro Sulla (80986);Pro Archia (80965);Pro Flacco;Post Reditum in Senatu (80964);Post Reditum ad Populum (80963);De Domo Sua (80925);De Haruspicum Responso (80928),Scripta quae manserunt omnia,Lipsiae,in aedibus B. G. Teubneri,1878,https://catalog.hathitrust.org/Record/100739549,1878,,4 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Chicago
422,https://catalog.hathitrust.org/Record/005790242,"44596 : Benedict, Saint, Abbot of Monte Cassino","84190 : Wölfflin, Eduard von, 1831-1908",Same,Regula (82418),Regula (82418),Benedicti Regula monachorum. Recensuit Eduardus Woelfflin.,Lipsiae,in aedibus B. G. Teubneri,1895,https://catalog.hathitrust.org/Record/005790242,1895,85 p.,,,,HathiTrust,Harvard University
443,https://catalog.hathitrust.org/Record/009519031,44524 : Ammianus Marcellinus,"84087 : Gardthausen, V. (Victor), 1843-1928",Same,Rerum gestarum libri qui supersunt (80062),Rerum gestarum libri qui supersunt (80062),Ammiani Marcellini Rerum gestarum libri qui supersunt. Recensuit notisque selectis instruxit V. Gardthausen ...,Lipsiae,in aedibus B. G. Teubneri,1874,https://catalog.hathitrust.org/Record/009519031,1874,,,,,HathiTrust,University of Iowa
442,https://catalog.hathitrust.org/Record/100787568,"44524 : Ammianus Marcellinus;84057 : Estienne, Robert, 1503?-1559","84087 : Gardthausen, V. (Victor), 1843-1928",Same,Rerum gestarum libri qui supersunt (80062),Rerum gestarum libri qui supersunt (80062),Ammiani Marcellini Rerum gestarum libri qui supersunt. Recensuit V. Gardthausen.,Lipsiae,in aedibus B. G. Teubneri,1874,https://catalog.hathitrust.org/Record/100787568,1874,,,,,HathiTrust,University of California
449,https://catalog.hathitrust.org/Record/001810318,"44932 : Valerius, Julius","84104 : Kübler, Bernhard, 1859-1940;Pseudo-Callisthenes",Different,Res gestae Alexandri Macedonis (84197),Res gestae Alexandri Macedonis (84197);Epistola Alexandri ad Aristotelem (84386),"Iuli Valeri Alexandri Polemi Res gestae Alexandri Macedonis translatae ex Aesopo graeco. Accedunt Collatio Alexandri cum Dindimo, rege Bragmanorum, per litteras facta et Epistola Alexandri ad Aristotelem magistrum suum, de itinere suo et de situ Indiae.",Lipsiae,in aedibus B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/001810318,1888,261 p.,,,,Hathi Trust,Harvard University
77,https://catalog.hathitrust.org/Record/007115264,"45930 : Varro, Marcus Terentius","84089 : Goetz, Georg, 1849-1932;84108 : Keil, Heinrich, 1822-1894",Same,Res Rusticae (81867),Res Rusticae (81867),M. Terenti Varronis Rerum rusticorum libri tres,Lipsiae,in aedibus B. G. Teubneri,1912,https://catalog.hathitrust.org/Record/007115264,1912,162 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California
78,https://catalog.hathitrust.org/Record/100370420,"45930 : Varro, Marcus Terentius","84108 : Keil, Heinrich, 1822-1894",Same,Res Rusticae (81867),Res Rusticae (81867),M. Terenti Varronis Rerum rusticarum libri tres,Lipsiae,in aedibus B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/100370420,1889,173 p.,,,,Hathi Trust,Harvard University
43,https://catalog.hathitrust.org/Record/002239967,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,"Rhetorica ad Herennium (dub.) (80988);De Inventione (80929);De Oratore (80936);Brutus (80920);De Optimo Genere Oratorum (80935); De Partitione Oratoria (80937);Topica (80990);Academica (80917);De Finibus (80927);Tusculanae Disputationes (80991);Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978);Commentarii in diuinationem in Q. Caecilium (dub.) (84207);In Verrem (80953);Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967); Pro Cluentio (80969); De Lege Agraria (80931); Pro Rabirio Perduellionis Reo (80980); In Catilinam (80948); Pro Murena (80976); Pro Sulla (80986); Pro Archia (80965); Pro Flacco (80970); Post Reditum in Senatu (80964); Post Reditum ad Populum (80963)De Haruspicum Responso (80928); De Domo Sua (80925);Pro Sestio (80985);In Vatinium (80952); Pro Caelio (80968); De Provinciis Consularibus (80938); Pro Balbo (80966); In Pisonem (80949); Pro Plancio (80977); Pro Scauro (80984); Pro Rabirio Postumo (80981); Pro Milone (80975); Pro Marcello (80974); Pro Ligario (80973); Pro Rege Deiotaro (80982); Philippicae (80961);De Natura Deorum (80933);De Divinatione (80924);De Fato (80926);De Republica (80939);De Legibus (80932);De Officiis (80934);Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960);Timaeus (80989);epistulae, fragmenta (80945)","Rhetorica ad Herennium (dub.) (80988);De Inventione (80929);De Oratore (80936);Brutus (80920);De Optimo Genere Oratorum (80935); De Partitione Oratoria (80937);Topica (80990);Academica (80917);De Finibus (80927);Tusculanae Disputationes (80991);Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978);Commentarii in diuinationem in Q. Caecilium (dub.) (84207);In Verrem (80953);Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967); Pro Cluentio (80969); De Lege Agraria (80931); Pro Rabirio Perduellionis Reo (80980); In Catilinam (80948); Pro Murena (80976); Pro Sulla (80986); Pro Archia (80965); Pro Flacco (80970); Post Reditum in Senatu (80964); Post Reditum ad Populum (80963)De Haruspicum Responso (80928); De Domo Sua (80925);Pro Sestio (80985);In Vatinium (80952); Pro Caelio (80968); De Provinciis Consularibus (80938); Pro Balbo (80966); In Pisonem (80949); Pro Plancio (80977); Pro Scauro (80984); Pro Rabirio Postumo (80981); Pro Milone (80975); Pro Marcello (80974); Pro Ligario (80973); Pro Rege Deiotaro (80982); Philippicae (80961);De Natura Deorum (80933);De Divinatione (80924);De Fato (80926);De Republica (80939);De Legibus (80932);De Officiis (80934);Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960);Timaeus (80989);epistulae, fragmenta (80945)",M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,B. G. Teubner,1908,https://catalog.hathitrust.org/Record/002239967,1908,,10 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan
281,https://catalog.hathitrust.org/Record/001808834,44692 : Juvenal,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404),Saturae (80404);De statu rei publicae (dub.) (81443),Satirarum libri quinque. Accedit Sulpiciae Satira.,Lipsiae,sumptibus et typis B. G. Teubneri,1890,https://catalog.hathitrust.org/Record/001808834,1890,118 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan
358,https://catalog.hathitrust.org/Record/100330087,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404),Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,in aedibus B.G. Teubneri,1883,https://catalog.hathitrust.org/Record/100330087,1883,118 p.,,,,Hathi Trust,Harvard University
354,https://catalog.hathitrust.org/Record/006513204,44692 : Juvenal,"91814 : Häckermann, Adolf 1819-",Different,Saturae (80404); Sulpicia*,Saturae (80404),D. Iunii Iuvenalis Satirarum libri V,Lipsiae,sumptibus et typis B. G. Teubneri,1851,https://catalog.hathitrust.org/Record/006513204,1851,105 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California
359,https://catalog.hathitrust.org/Record/012289487,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,in aedibus B. G. Teubneri,1904,https://catalog.hathitrust.org/Record/012289487,1904,118 p.,,,Bibliotheca scriptorum graecorum et romanorum teubneriana,Hathi Trust,Pennsylvania State University
362,https://catalog.hathitrust.org/Record/011615516,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,sumptibus et typis B. G. Teubneri,1856,https://catalog.hathitrust.org/Record/011615516,1856,118 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University
356,https://catalog.hathitrust.org/Record/012323963,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,B. G. Teubner,1883,https://catalog.hathitrust.org/Record/012323963,1883,118 p.,,,,Hathi Trust,Cornell University
357,https://catalog.hathitrust.org/Record/009787730,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,B. G. Teubner,1865,https://catalog.hathitrust.org/Record/009787730,1865,118 p.,,,,Hathi Trust,University of Virginia
360,https://catalog.hathitrust.org/Record/100886528,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,in aedibus B. G. Teubneri,1911,https://catalog.hathitrust.org/Record/100886528,1911,36 p.,,,,Hathi Trust,Michigan State University
361,https://catalog.hathitrust.org/Record/100682617,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,in aedibus B. G. Teubneri,1860,https://catalog.hathitrust.org/Record/100682617,1860,118 p.,,,,Hathi Trust,University of Minnesota
363,https://catalog.hathitrust.org/Record/100682616,44692 : Juvenal;45401 : Sulpicia,"84094 : Hermann, Karl Friedrich, 1804-1855",Different,Saturae (80404); Sulpicia*,Saturae (80404);De statu rei publicae (dub.) (81443),D. Iunii Iuvenalis Satirarum libri quinque. Accedit Sulpiciae Satira,Lipsiae,in aedibus B. G. Teubneri,1904,https://catalog.hathitrust.org/Record/100682616,1904,118 p.,,,,Hathi Trust,University of Minnesota
67,https://catalog.hathitrust.org/Record/100384241,45165 : Horace,"84186 : Vollmer, Friedrich, 1867-1923",Same,Sermones (81170);Ars Poetica (81165);Carmen Saeculare (81166);Carmina (81167);Epistulae (81168);Epodi (81169),Sermones (81170);Ars Poetica (81165);Carmen Saeculare (81166);Carmina (81167);Epistulae (81168);Epodi (81169),Q. Horati Flacci Carmina,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/100384241,1907,390 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University
602,https://catalog.hathitrust.org/Record/100380439,44521 : Amarcius,"91848 : Manitius, Max, 1858-1933",Same,Sermones (82279),Sermones (82279),Sexti Amarcii Galli Piosistrata Sermonum libri IV: e codice dresdensi A.167a,Lipsiae,in aedibus B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/100380439,1888,105 p.,,Sexti Amarcii Galli Piosistrata Sermonum libri IV,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University
250,https://catalog.hathitrust.org/Record/100227115,"44491 : Donatus, Aelius","84189 : Wessner, Paul, 1870-1933",Same,"Vita Terentii (80056);Commentum Terentii: Andria (80049);Commentum Terentii: Eunuchus (80050);Commentum Terentii: Adelphoe (80048);Commentum Terentii: Hecyra (80051);Commentum Terentii: Phormio (80052);De comoedia, uel De fabula (81947)* (Euanthius:70673)","Vita Terentii (80056);Commentum Terentii: Andria (80049);Commentum Terentii: Eunuchus (80050);Commentum Terentii: Adelphoe (80048);Commentum Terentii: Hecyra (80051);Commentum Terentii: Phormio (80052);De comoedia, uel De fabula (81947)* (Euanthius:70673)",Aeli Donati qvod fertvr Commentvm Terenti. Accedvnt Evgraphi commentvm et Scholia bembina,Lipsiae,in aedibus B.G. Teubneri,1902,https://catalog.hathitrust.org/Record/100227115,1902,,,,,HathiTrust,Cornell University
251,https://catalog.hathitrust.org/Record/000842288,"44491 : Donatus, Aelius","84189 : Wessner, Paul, 1870-1933",Same,"Vita Terentii (80056);Commentum Terentii: Andria (80049);Commentum Terentii: Eunuchus (80050);Commentum Terentii: Adelphoe (80048);Commentum Terentii: Hecyra (80051);Commentum Terentii: Phormio (80052);De comoedia, uel De fabula (81947)* (Euanthius:70673)","Vita Terentii (80056);Commentum Terentii: Andria (80049);Commentum Terentii: Eunuchus (80050);Commentum Terentii: Adelphoe (80048);Commentum Terentii: Hecyra (80051);Commentum Terentii: Phormio (80052);De comoedia, uel De fabula (81947)* (Euanthius:70673)",Aeli Donati quod fertur Commentum Terenti.,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/000842288,1902,,,,,HathiTrust,University of Michigan
12,https://catalog.hathitrust.org/Record/001809218,"45078 : Nepos, Cornelius","89571 : Fleckeisen, Alfred, 1820-1899",Different,Vitae (81088),Vitae (81088);Miltiades (89641);Themistocles (89642);Aristides (89643);Pausanias (89644);Cimon (89645);Lysander (89646);Alcibiades (89647);Thrasybulus (89648);Conon (89649);Dion (89650);Iphicrates (89651);Chabrias (89652);Timotheus (89653);Datames (89654);Epaminondas (89655);Pelopidas (89656);Agesilaus (89657);Eumenes (89658);Phocion (89659);Timoleon (89660);Reges (89661);Hamilcar (89662);Hannibal (89663);Cato (89664);Atticus (89665),Cornelii Nepotis Vitae,Lipsiae,B.G. Teubner,1890,https://catalog.hathitrust.org/Record/001809218,1890,118 p.,,,,Hathi Trust,University of Michigan
132,https://catalog.hathitrust.org/Record/006792423,44669 : Commodianus,"89536 : Ludwig, Ernst, 1845-1912",,,Instructiones (80364);Carmen Apologeticum (80361);Works by Cornelius Nepos*; Vitae (81088);Miltiades (89641);Themistocles (89642);Alcibiades (89647);Iphicrates (89651);Chabrias (89652);Epaminondas (89655);Pelopidas (89656);Agesilaus (89657);Eumenes (89658);Phocion (89659);Timoleon (89660);Reges (89661);Hamilcar (89662);Hannibal (89663);Cato (89664);Atticus (89665),Commodiani Carmina,Lipsiae,in aedibus B. G. Teubneri,1878,https://catalog.hathitrust.org/Record/006792423,1878,,2 v.,,Bibliotheca scriptorum graecorum et romanorum Teubneriana. S. r,HathiTrust,Indiana University
463,https://catalog.hathitrust.org/Record/006640024,89669 : Horatius Romanus,"89672 : Lehnerdt, Maximilian 1861-1945?",,,Porcaria (91908);De coniuratione Porcaria dialogus (91916),"Horatii Romani Porcaria; seu, De coniuratione Stephani Porcarii carmen, cum aliis eiusdem quae inveniri potuerunt carminibus",Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/006640024,1907,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California
245,https://catalog.hathitrust.org/Record/100491936,45254 : Livy,"84187: Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),Ab urbe condita libri,Lipsiae,in aedibus B.G. Teubneri,1877,https://catalog.hathitrust.org/Record/100491936,1877,,,,,HathiTrust,Harvard University
255,https://catalog.hathitrust.org/Record/006794017,45254 : Livy,"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),Ab urbe condita libri.,Lipsiae,in aedibus B.G. Teubneri,1887,https://catalog.hathitrust.org/Record/006794017,1887,,,,,HathiTrust,Indiana University
256,https://catalog.hathitrust.org/Record/009779744,45254 : Livy,"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),Ab urbe condita libri: editionem primam curavit Guilelmus Weissenborn.,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/009779744,1902,,,,,HathiTrust,University of Virginia
257,https://catalog.hathitrust.org/Record/008394775,45254 : Livy,"84061 : Friedersdorff, F. (Franz), 1846-1911?;84126 : Müller, H. J.;84118 : Luterbacher, Franz, 1850-1924;84190 : Wölfflin, Eduard von, 1831-1908;84128 : Müller, Moritz, 1854-",,,Ab Urbe Condita (81186),Ab urbe condita für den Schulgebrauch,Lipsiae,in aedibus B. G. Teubneri,1878,https://catalog.hathitrust.org/Record/008394775,1878,,,,,HathiTrust,Columbia University
334,https://catalog.hathitrust.org/Record/011665746,45254 : Livy,"91820 : Heraeus, W. (Wilhelm), 1862-1938;84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),Ab urbe condita libri.,Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/011665746,1884,,6 v.,,Ab urbe condita,HathiTrust,Indiana University
540,https://catalog.hathitrust.org/Record/100464680,45254 : Livy,"91807 : Frey, Joseph, 1834-1910",,,Ab Urbe Condita (81186),Titi Livi Ab vrbe condita liber I [-II] fur den Schulgebrauch,Leipzig,B. G. Teubner,1865,https://catalog.hathitrust.org/Record/100464680,1865,,2 v.,,,Hathi Trust,Columbia University
541,https://catalog.hathitrust.org/Record/100674183,45254 : Livy,"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),"Titi Livi Ab urbe condita libri. Pars 1, libri 1-10",Lipsiae,in aedibus B. G. Teubneri,1901,https://catalog.hathitrust.org/Record/100674183,1901,230 p.,,,,Hathi Trust,University of Minnesota
542,https://catalog.hathitrust.org/Record/011595823,45254 : Livy,"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),Titi Livi Ab urbe condita libri,Lipsiae,in aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/011595823,1908,,6 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California
543,https://catalog.hathitrust.org/Record/011595822,45254 : Livy,"84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878",,,Ab Urbe Condita (81186),Titi Livi Ab urbe condita libri.,Lipsiae,in aedibus B. G. Teubneri,1894,https://catalog.hathitrust.org/Record/011595822,1894,,5 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University
