,Index,DLL Author,DLL Editors,Same or Different?,DLL Works Rachel,DLL Works SJH,Title,Place,Publisher,Date,Archive,Library Catalog,,,,,,
119,https://catalog.hathitrust.org/Record/006792467,"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.;45908 : Pseudo-Seneca","89461 : Haase, Friedrich, 1808-1867",Different,Apocolocyntosis (81573);Fragmenta (90871);Epistulae ad Paulum (81825);De Morte Claudii Caesariis / De Moribus? (90870);,Apocolocyntosis (81573);Fragmenta (90871);Epistulae ad Paulum (81825);Epigrammata super exilio (91909),L. Annaei Senecae opera quae supersunt supplementum / edidit Fr. Haase.,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/006792467,1902,191 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Indiana University
3,https://catalog.hathitrust.org/Record/100684885,44546 : Apuleius,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",Same,Apologia (80071),Apologia (80071),Apulei Platonici Madaurensis Pro se de magia liber (Apologia),Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/100684885,1905,120 p.,,,,HathiTrust,University of Minnesota
4,https://catalog.hathitrust.org/Record/007027466,44546 : Apuleius,"89562 : Helm, Rudolf, 1874-1964",Same,Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apulei Opera quae supersunt.,Lipsiae,B. G. Teubner,1912,https://catalog.hathitrust.org/Record/007027466,1912,,,,Works.1912,HathiTrust,University of California
5,https://catalog.hathitrust.org/Record/100108983,44546 : Apuleius,"84183 : Thomas, Paul, 1852-1937;84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",Same,Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apulei Opera quae supersunt,Lipsiae,in aedibus B. G. Teubneri,1910,https://catalog.hathitrust.org/Record/100108983,1910,,,,,HathiTrust,Ohio State University
0,https://catalog.hathitrust.org/Record/001724802,44546 : Apuleius,"84185 : Vliet, Joannes van der, 1847-1902",Same,Apologia (80071);Florida (80077),Apologia (80071);Florida (80077),"Lveii Apvlei Madavrensis Apologia, sive De magia liber et Florida",Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/001724802,1900,202 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Harvard University
99,https://catalog.hathitrust.org/Record/011589230,44546 : Apuleius,"84185 : Vliet, Joannes van der, 1847-1902",Same,Apologia (80071);Florida (80077),Apologia (80071);Florida (80077),"Lucii Apulei Madaurensis Apologia, sive De magia liber et Florida.",Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/011589230,1900,202 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of California
2,https://catalog.hathitrust.org/Record/100684828,44546 : Apuleius,"84185 : Vliet, Joannes van der, 1847-1902",Same,Apologia (80071);Florida (80077);Apologia (80071),Apologia (80071);Florida (80077);Apologia (80071),"Apologia, sive, De magia liber, et Florida",Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/100684828,1900,202 p.,,,,HathiTrust,University of Minnesota
429,https://catalog.hathitrust.org/Record/010882471,44546 : Apuleius,"84183 : Thomas, Paul, 1852-1937;84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",Same,Apologia (80071);Metamorphoses (80079),Apologia (80071);Metamorphoses (80079),Apulei Opera quae supersunt.,Lipsiae,in aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/010882471,1908,,,,,HathiTrust,University of California
16,https://catalog.hathitrust.org/Record/002440266,"45363 : Avienus, Rufius Festus;89511 : Aratus, Solensis","91789 : Breysig, Alfred August Bernhard, 1831-1901",Same,Arati 'Phaenomena' uersa atque retractata (81368),Arati 'Phaenomena' uersa atque retractata (81368),Rufi Festi Avieni Aratea,Lipsiae,in aedibus B. G. Teubneri,1882,https://catalog.hathitrust.org/Record/002440266,1882,83 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University
23,https://catalog.hathitrust.org/Record/011665081,"45426 : Valerius Flaccus, Gaius","84045 : Baehrens, Emil, 1848-1888",Same,Argonautica (81524),Argonautica (81524),Argonauticon libri octo,Lipsiae,in aedibus B. G. Teubneri,1875,https://catalog.hathitrust.org/Record/011665081,1875,180 p.,,,,HathiTrust,Cornell University
95,https://catalog.hathitrust.org/Record/007964555,45030 : Lucan,"84097 : Hosius, Carl, 1866-1937",Same,Bellum Civile (80908),Bellum Civile (80908),M. Annaei Lvcani Belli civilis libri decem tertivm,Lipsiae,in aedibus B. G. Teubneri,1913,https://catalog.hathitrust.org/Record/007964555,1913,395 p.,,,,HathiTrust,University of Wisconsin - Madison
96,https://catalog.hathitrust.org/Record/100027658,45030 : Lucan,"84097 : Hosius, Carl, 1866-1937",Same,Bellum Civile (80908),Bellum Civile (80908),M. Annaei Lvcani Belli civilis libri decem,Lipsiae,B.G. Teubner,1913,https://catalog.hathitrust.org/Record/100027658,1913,395 p.,,,,HathiTrust,University of Minnesota
7,https://catalog.hathitrust.org/Record/011606359,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),Breviarium historiae Romanae,Lipsiae,sumptibus et typis B. G. Teubneri,1850,https://catalog.hathitrust.org/Record/011606359,1850,,,,,HathiTrust,Harvard University
8,https://catalog.hathitrust.org/Record/100676168,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),"Eutropii Breviarium historiae romanae: editionem primam curavit Detl. C.G. Baumgarten-Crusius, alteram henricus Rudolfus Dietsch.",Lipsiae,B.G. Teubner,1865,https://catalog.hathitrust.org/Record/100676168,1865,78 p.,,,,HathiTrust,University of Minnesota
9,https://catalog.hathitrust.org/Record/008905026,"44757 : Eutropius, active 4th century","91895 : Rühl, Franz, 1845-1916",Same,Breuiarium ab urbe condita (80507),Breuiarium ab urbe condita (80507),Breviarium ad urbe condita.,Lipsiae,B. G. Teubner,1887,https://catalog.hathitrust.org/Record/008905026,1887,90 p.,,,,HathiTrust,Princeton Univeristy
