Ed1;Ed2;2;3;4;5
"91778 : Andresen, Georg, 1845-;89560 : Halm, Karl, 1809-1882"
""
"84127 : Müller, Lucian, 1836-1898"
""
"89690 : Gemoll, Wilhelm, 1850-1934"
"89530 : Jahnke, Richard, 1868-1933"
"89460 : Hermes, Emil, 1847-1911"
"89698 : Richter, Gustav, 1838-1904;84134 : Peiper, Rudolf, 1834-1898"
"89698 : Richter, Gustav, 1838-1904;84134 : Peiper, Rudolf, 1834-1898"
"89698 : Richter, Gustav, 1838-1904;84134 : Peiper, Rudolf, 1834-1898"
"89460 : Hermes, Emil, 1847-1911;84097 : Hosius, Carl, 1866-1937"
"89459 : Gercke, Alfred, 1860-1922;89460 : Hermes, Emil, 1847-1911;89461 : Haase, Friedrich, 1808-1867;89695 : Heuse, Otto, 1902-;84097 : Hosius, Carl, 1866-1937"
"89461 : Haase, Friedrich, 1808-1867"
"89459 : Gercke, Alfred, 1860-1922;89460 : Hermes, Emil, 1847-1911;89461 : Haase, Friedrich, 1808-1867;84092 : Hense, Otto, 1845-1931;84097 : Hosius, Carl, 1866-1937"
"89461 : Haase, Friedrich, 1808-1867"
"89461 : Haase, Friedrich, 1808-1867"
"89459 : Gercke, Alfred, 1860-1922;89460 : Hermes, Emil, 1847-1911;89461 : Haase, Friedrich, 1808-1867;84092 : Hense, Otto, 1845-1931;84097 : Hosius, Carl, 1866-1937"
"89699 : Rossbach, Otto, 1858-1931"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"89438 : Garrod, H. W. (Heathcote William), 1878-1960;89459 : Gercke, Alfred, 1860-1922"
"89459 : Gercke, Alfred, 1860-1922;89460 : Hermes, Emil, 1847-1911;89461 : Haase, Friedrich, 1808-1867;84092 : Hense, Otto, 1845-1931;84097 : Hosius, Carl, 1866-1937"
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"
"89694 : Gundermann, Gotthold, 1856-1921"
"89560 : Halm, Karl, 1809-1882"
"84104 : Kübler, Bernhard, 1859-1940;89616 : Seckel, Emil, 1864-1924"
"89692 : Bremer, F. P. (Franz Peter), 1832-"
"91883 : Sittl, Karl, 1862-1899"
"89536 : Ludwig, Ernst, 1845-1912"
"89536 : Ludwig, Ernst, 1845-1912"
"89536 : Ludwig, Ernst, 1845-1912"
"91854 : Meyer, Wilhelm, 1845-1917"
""
"84054 : Dinter, Bernard"
"84054 : Dinter, Bernard"
"84190 : Wölfflin, Eduard von, 1831-1908;84104 : Kübler, Bernhard, 1859-1940"
"84190 : Wölfflin, Eduard von, 1831-1908;84104 : Kübler, Bernhard, 1859-1940"
""
"84104 : Kübler, Bernhard, 1859-1940"
""
"84127 : Müller, Lucian, 1836-1898"
"89548 : Boer, Ae.;89549 : Boll, Franz, 1867-1924;84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928"
"89531 : Koch, Julius, 1866-"
"89531 : Koch, Julius, 1866-"
""
"84045 : Baehrens, Emil, 1848-1888"
"84127 : Müller, Lucian, 1836-1898"
""
""
"84127 : Müller, Lucian, 1836-1898"
"84133 : Plasberg, Otto, 1869-1924;89541 : Simbeck, Karl, 1882-1944"
"84059 : Eussner, Adam, 1844-"
"84127 : Müller, Lucian, 1836-1898"
"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906"
"91731 : Frick, Karl, 1848-"
""
"84059 : Eussner, Adam, 1844-"
"84140 : Rose, Valentin, 1829-1916"
""
""
""
"84127 : Müller, Lucian, 1836-1898"
"89531 : Koch, Julius, 1866-"
"84127 : Müller, Lucian, 1836-1898"
""
"84186 : Vollmer, Friedrich, 1867-1923"
"84127 : Müller, Lucian, 1836-1898"
""
"84116 : Lehnert, Georg, 1871-"
"89558 : Ofenloch, Ernest, 1884-"
"89546 : Beck, J. W. (Jan Wibertus)"
"84120 : Marold, Karl"
"89560 : Halm, Karl, 1809-1882"
