,Ed1,Ed2,2,3,4,5
422,"84190 : Wölfflin, Eduard von, 1831-1908","84104 : Kübler, Bernhard, 1859-1940",,,,
423,"84143 : Rühl, Franz, 1845-1916",,,,,
424,"84190 : Wölfflin, Eduard von, 1831-1908",,,,,
425,"84134 : Peiper, Rudolf, 1834-1898",,,,,
426,"84134 : Peiper, Rudolf, 1834-1898",,,,,
427,"84106 : Heidenhain, Friedrich Jakob, 1845-1912",,,,,
428,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
429,"89577 : Kramer, Otto, 1887-",,,,,
430,"84183 : Thomas, Paul, 1852-1937",,,,,
431,"84183 : Thomas, Paul, 1852-1937","84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,
432,"84094 : Hermann, Karl Friedrich, 1804-1855",,,,,
433,,,,,,
434,"84117 : Lommatzsch, Ernst, 1871-1949","84049 : Buecheler, Franz, 1837-1908","84137 : Riese, Alexander, 1840-1922",,,
435,"84137 : Riese, Alexander, 1840-1922","84049 : Buecheler, Franz, 1837-1908",,,,
436,"84049 : Buecheler, Franz, 1837-1908","84137 : Riese, Alexander, 1840-1922",,,,
437,"84137 : Riese, Alexander, 1840-1922","84049 : Buecheler, Franz, 1837-1908",,,,
438,"84117 : Lommatzsch, Ernst, 1871-1949","84137 : Riese, Alexander, 1840-1922","84049 : Buecheler, Franz, 1837-1908",,,
439,"84179 : Stegmann, Carl",,,,,
440,"84103 : Kiessling, Adolf, 1837-1892",,,,,
441,"84086 : Friedlein, Gottfried, 1828-1875",,,,,
442,"84123 : Meiser, Karl, 1843-1912",,,,,
443,"84123 : Meiser, Karl, 1843-1912",,,,,
444,"84087 : Gardthausen, V. (Victor), 1843-1928",,,,,
445,"84087 : Gardthausen, V. (Victor), 1843-1928",,,,,
446,"84127 : Müller, Lucian, 1836-1898",,,,,
447,"84127 : Müller, Lucian, 1836-1898",,,,,
448,"84141 : Rossbach, August, 1823-1898",,,,,
449,"84127 : Müller, Lucian, 1836-1898",,,,,
450,"89589 : Ziegler, Konrat, 1884-1974","89582 : Skutsch, Franz, 1865-1912","91837 : Kroll, Wilhelm, 1869-1939",,,
451,"84104 : Kübler, Bernhard, 1859-1940",Pseudo-Callisthenes,,,,
452,"89560 : Halm, Karl, 1809-1882",,,,,
453,"89589 : Ziegler, Konrat, 1884-1974",,,,,
454,,,,,,
455,"91866 : Rabe, Hugo, 1867-1932",,,,,
456,"Gneist, Rudolph, 1816-1895.",,,,,
457,"91812 : Gneist, Rudolph, 1816-1895",,,,,
458,"89691 : Bonnell, Eduard, 1802-1877",,,,,
459,"89691 : Bonnell, Eduard, 1802-1877",,,,,
460,"89691 : Bonnell, Eduard, 1802-1877",,,,,
461,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
462,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
463,"89690 : Gemoll, Wilhelm, 1850-1934",,,,,
464,"89700 : Strecker, Karl, 1861-1945",,,,,
465,"89672 : Lehnerdt, Maximilian 1861-1945?",,,,,
466,"91862 : Peter, Hermann, 1837-1914",,,,,
467,"91888 : Vogel, Theodor, 1836-1912",,,,,
468,"91888 : Vogel, Theodor, 1836-1912",,,,,
469,"91833 : Kaiser, Paul, 1852-1917",,,,,
470,"91821 : Herding, Wilhelm",,,,,
471,"91821 : Herding, Wilhelm",,,,,
472,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
473,"91821 : Herding, Wilhelm",,,,,
474,"89672 : Lehnerdt, Maximilian 1861-1945?",,,,,
475,"89682 : Lohmeyer, Carl Friedrich Wilhelm, 1868-",,,,,
476,"89682 : Lohmeyer, Carl Friedrich Wilhelm, 1868-",,,,,
477,,,,,,
478,"89593 : Flemisch, Michael, 1873-",,,,,
479,"89593 : Flemisch, Michael, 1873-",,,,,
480,"84108 : Keil, Heinrich, 1822-1894","Hagen, Hermann, 1844-1898",,,,
481,"89680 : Funaioli, Gino, 1878-1958",,,,,
482,"89680 : Funaioli, Gino, 1878-1958",,,,,
483,"91789 : Breysig, Alfred August Bernhard, 1831-1901",,,,,
484,"89560 : Halm, Karl, 1809-1882",,,,,
485,"89560 : Halm, Karl, 1809-1882","Andresen, Georg, 1845-",,,,
486,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
487,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
488,"84104 : Kübler, Bernhard, 1859-1940","89616 : Seckel, Emil, 1864-1924","89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,
489,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886","84104 : Kübler, Bernhard, 1859-1940","89616 : Seckel, Emil, 1864-1924",,,
490,"91838 : Krueger, Paul, 1840-1926",,,,,
491,"89607 : Lang, Carl, 1841-",,,,,
492,"89601 : Holder, Alfred, 1840-1916",,,,,
493,"89684: Merkel, Rudolf, 1811-1885",,,,,
494,"89560 : Halm, Karl, 1809-1882",,,,,
495,"89675: Schullian, Dorothy M. (Dorothy May), 1906-1989","84102 : Kempf, Carolus, 1819-1894",,,,
496,"84053 : Dietsch, Heinrich Rudolf, 1814-1875","89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,
497,"84053 : Dietsch, Heinrich Rudolf, 1814-1875","84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,,,
498,"84143 : Rühl, Franz, 1845-1916",,,,,
499,"89591 : Carter, Jesse Benedict, 1872-1917",,,,,
500,"89679 : Fickelscherer, Martin",,,,,
501,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,
502,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,
503,"89578 : Meister, Ferdinand Otto, 1828-1915",,,,,
504,"84127 : Müller, Lucian, 1836-1898",,,,,
505,"84140 : Rose, Valentin, 1829-1916",,,,,
506,,,,,,
507,,,,,,
508,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
509,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
510,"84117 : Lommatzsch, Ernst, 1871-1949",,,,,
511,,,,,,
512,"89685 : Nauck, C. W. (Carl Wilhelm), 1813-","Krüger, G. T. A. (Georg Theodor August), 1793-1873",,,,
513,"84134 : Peiper, Rudolf, 1834-1898",,,,,
514,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937","89677 : Thewrewk, Emil, Ponori, 1838-1917",,,,
515,,,,,,
516,"84127 : Müller, Lucian, 1836-1898",,,,,
517,,,,,,
518,"91893 : Wesenberg, Albert Sadolin, 1804-1876",,,,,
519,"91818 : Helmreich, Georg, 1849-1921",,,,,
520,"91818 : Helmreich, Georg, 1849-1921",,,,,
521,"91803 : Eyssenhardt, Franz, 1838-1901",,,,,
522,"89461 : Haase, Friedrich, 1808-1867",,,,,
523,"89461 : Haase, Friedrich, 1808-1867",,,,,
524,"89461 : Haase, Friedrich, 1808-1867",,,,,
525,,,,,,
526,"91810 : Gilbert, Walther, 1851-",,,,,
527,"91810 : Gilbert, Walther, 1851-",,,,,
528,"91810 : Gilbert, Walther, 1851-",,,,,
529,"91810 : Gilbert, Walther, 1851-",,,,,
530,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,
531,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,
532,"84175 : Schneidewin, Friedrich Wilhelm, 1810-1856",,,,,
533,"91808 : Gast, Ernst-Reinhard, 1842-1904",,,,,
534,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
535,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
536,"89575 : Klotz, Reinhold, 1807-1870",,,,,
537,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
538,"91844 : La Sale, Antoine de, 1385?-1461?","91836 : Knoellinger, Hermann, 1883-1914","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,
539,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
540,"91893 : Wesenberg, Albert Sadolin, 1804-1876","89575 : Klotz, Reinhold, 1807-1870",,,,
541,"89699 : Rossbach, Otto, 1858-1931",,,,,
542,"91807 : Frey, Joseph, 1834-1910",,,,,
543,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
544,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
545,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
546,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
547,,,,,,
548,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
549,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
550,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
551,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
552,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
553,"91820 : Heraeus, W. (Wilhelm), 1862-1938","84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,
554,"84128 : Müller, Moritz, 1854-","84187 : Weissenborn, Wilhelm, 1803-1878",,,,
555,"84187 : Weissenborn, Wilhelm, 1803-1878",,,,,
556,"84187 : Weissenborn, Wilhelm, 1803-1878",,,,,
557,"84187 : Weissenborn, Wilhelm, 1803-1878",,,,,
558,"84128 : Müller, Moritz, 1854-",,,,,
559,"84127 : Müller, Lucian, 1836-1898",,,,,
560,"91791 : Brummer, Jacob","91809 : Georges, Heinrich, 1852-1921",,,,
561,"89698 : Richter, Gustav, 1838-1904","84134 : Peiper, Rudolf, 1834-1898",,,,
562,"89698 : Richter, Gustav, 1838-1904","84134 : Peiper, Rudolf, 1834-1898",,,,
563,"84107 : Jeep, Justus Wilhelm Linde, 1799-1884",,,,,
564,"91852 : Merzdorf, J. F. L. Theodor (Johann Friedrich Ludwig Theodor), 1812-1877",,,,,
565,"91852 : Merzdorf, J. F. L. Theodor (Johann Friedrich Ludwig Theodor), 1812-1877",,,,,
566,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
567,"89560 : Halm, Karl, 1809-1882",,,,,
568,"84102 : Kempf, Carolus, 1819-1894",,,,,
569,"84102 : Kempf, Carolus, 1819-1894",,,,,
570,"84141 : Rossbach, August, 1823-1898",,,,,
571,"91891 : Weber, Ernst, 1873","Thederingus, Hermann","Gruterus, Janus, 1560-1627","89796 : Melissus, Paulus, 1539-1602","71395 : Hessus, Helius Eobanus, 1488-1540","91853 : Meurer, Wolfgang, 1513-1585"
572,"91842 : Künstle, Karl, 1859-1932",,,,,
573,"89560 : Halm, Karl, 1809-1882",,,,,
574,"91791 : Brummer, Jacob",,,,,
575,,,,,,
576,"84140 : Rose, Valentin, 1829-1916",,,,,
577,,,,,,
578,"91779 : Baehrens, W. A. (Willem Adolf), 1885-1929","84045 : Baehrens, Emil, 1848-1888",,,,
579,"84045 : Baehrens, Emil, 1848-1888",,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,"91835 : Klotz, Alfred, 1874-1956",,,,,
584,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
585,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
586,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
587,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876","89571 : Fleckeisen, Alfred, 1820-1899",,,,
588,"91713 : Ribbeck, Otto, 1827-1898",,,,,
589,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
590,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
591,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876",,,,,
592,"84089 : Goetz, Georg, 1849-1932","84176 : Schöll, Fritz, 1850-1919",,,,
593,"84176 : Schöll, Fritz, 1850-1919","84089 : Goetz, Georg, 1849-1932",,,,
594,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
595,"91790 : Brieger, Adolf, 1832-1912",,,,,
596,"91790 : Brieger, Adolf, 1832-1912",,,,,
597,"91835 : Klotz, Alfred, 1874-1956",,,,,
598,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
599,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
600,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
601,"91862 : Peter, Hermann, 1837-1914",,,,,
602,"91826 : Hohl, Ernst, 1886-1957",,,,,
603,"91862 : Peter, Hermann, 1837-1914",,,,,
604,"84097 : Hosius, Carl, 1866-1937",,,,,
605,"91848 : Manitius, Max, 1858-1933",,,,,
606,"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937","89677 : Thewrewk, Emil, Ponori, 1838-1917",,,,
607,"91780 : Bauer, Ludwig, active 1883-1892",,,,,
608,"84045 : Baehrens, Emil, 1848-1888",,,,,
609,"84186 : Vollmer, Friedrich, 1867-1923",,,,,
610,"89694 : Gundermann, Gotthold, 1856-1921",,,,,
611,"91836 : Knoellinger, Hermann, 1883-1914",,,,,
612,"91785 : Bernays, Jacob, 1824-1881",,,,,
613,"91785 : Bernays, Jacob, 1824-1881",,,,,
614,"91785 : Bernays, Jacob, 1824-1881",,,,,
615,"91790 : Brieger, Adolf, 1832-1912",,,,,
616,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
617,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
618,"91835 : Klotz, Alfred, 1874-1956",,,,,
619,"84103 : Kiessling, Adolf, 1837-1892",,,,,
620,"89684 : Merkel, Rudolf, 1811-1885",,,,,
621,"91882 : Siebelis, Johannes, 1817-1867","91865 : Polle, Friedrich, 1830-1902",,,,
622,"89684 : Merkel, Rudolf, 1811-1885",,,,,
623,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
624,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
625,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
626,"84174 : Schmitt, Johann Christoph",,,,,
627,"91835 : Klotz, Alfred, 1874-1956","89530 : Jahnke, Richard, 1868-1933",,,,
628,"89601 : Holder, Alfred, 1840-1916","91834 : Keller, Otto, 1838-1927",,,,
629,"89459 : Gercke, Alfred, 1860-1922","89460 : Hermes, Emil, 1847-1911","89461 : Haase, Friedrich, 1808-1867","84092 : Hense, Otto, 1845-1931","84097 : Hosius, Carl, 1866-1937",
630,,,,,,
631,,,,,,
632,"89560 : Halm, Karl, 1809-1882",,,,,
633,,,,,,
634,"89461 : Haase, Friedrich, 1808-1867",,,,,
635,"84183 : Thomas, Paul, 1852-1937","89562 : Helm, Rudolf, 1874-1964",,,,
636,"89461 : Haase, Friedrich, 1808-1867",,,,,
637,"84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,,,
638,"91830 : Jahn, Johann Christian, 1797-1847",,,,,
639,"91827 : Huemer, Johann, 1849-1915",,,,,
640,"91713 : Ribbeck, Otto, 1827-1898",,,,,
641,"91884 : Swoboda, Antonius, 1865-1928",,,,,
642,"91816 : Harster, Wilhelm, 1846-1901",,,,,
643,"91816 : Harster, Wilhelm, 1846-1901",,,,,
644,"91860 : Onions, John Henry, 1852-1889","89467 : Lindsay, W. M. (Wallace Martin), 1858-1937",,,,
645,"91860 : Onions, John Henry, 1852-1889","89467 : Lindsay, W. M. (Wallace Martin), 1858-1937",,,,
646,"84121 : Mayhoff, Karl, 1841-1914","84101 : Jan, Ludwig von 1807-1869",,,,
647,"91713 : Ribbeck, Otto, 1827-1898",,,,,
648,"84121 : Mayhoff, Karl, 1841-1914",,,,,
649,"84101 : Jan, Ludwig von 1807-1869","84121 : Mayhoff, Karl, 1841-1914",,,,
650,"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,,
651,"91803 : Eyssenhardt, Franz, 1838-1901",,,,,
652,"91803 : Eyssenhardt, Franz, 1838-1901",,,,,
653,"91830 : Jahn, Johann Christian, 1797-1847",,,,,
654,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
