,Ed1,Ed2,2,3,4,5
86,"91890 : Waltzing, Jean Pierre, 1857-1929",,,,,
87,"91719 : Gutschmid, Alfred von, 1831-1887","84143 : Rühl, Franz, 1845-1916",,,,
88,"89560 : Halm, Karl, 1809-1882",,,,,
89,"89691 : Bonnell, Eduard, 1802-1877",,,,,
90,"89691 : Bonnell, Eduard, 1802-1877",,,,,
91,"89691 : Bonnell, Eduard, 1802-1877",,,,,
92,"91871 : Ritter, Constantin, 1859-1936",,,,,
93,"91867 : Radermacher, Ludwig, 1867-1952",,,,,
94,"91867 : Radermacher, Ludwig, 1867-1952",,,,,
95,"91807 : Frey, Joseph, 1834-1910",,,,,
96,"84097 : Hosius, Carl, 1866-1937",,,,,
97,"84097 : Hosius, Carl, 1866-1937",,,,,
98,"91798 : Deuerling, Andreas, 1838-1906",,,,,
99,"84185 : Vliet, Joannes van der, 1847-1902",,,,,
100,"84185: Vliet, Joannes van der, 1847-1902",,,,,
101,"89560 : Halm, Karl, 1809-1882",,,,,
102,"89560 : Halm, Karl, 1809-1882",,,,,
103,"89560 : Halm, Karl, 1809-1882",,,,,
104,"89560 : Halm, Karl, 1809-1882",,,,,
105,"91778 : Andresen, Georg, 1845-","89560 : Halm, Karl, 1809-1882",,,,
106,,,,,,
107,"84127 : Müller, Lucian, 1836-1898",,,,,
108,,,,,,
109,"89690 : Gemoll, Wilhelm, 1850-1934",,,,,
110,"89530 : Jahnke, Richard, 1868-1933",,,,,
111,"89460 : Hermes, Emil, 1847-1911",,,,,
112,"89698 : Richter, Gustav, 1838-1904","84134 : Peiper, Rudolf, 1834-1898",,,,
113,"89698 : Richter, Gustav, 1838-1904","84134 : Peiper, Rudolf, 1834-1898",,,,
114,"89698 : Richter, Gustav, 1838-1904","84134 : Peiper, Rudolf, 1834-1898",,,,
115,"89460 : Hermes, Emil, 1847-1911","84097 : Hosius, Carl, 1866-1937",,,,
116,"89459 : Gercke, Alfred, 1860-1922","89460 : Hermes, Emil, 1847-1911","89461 : Haase, Friedrich, 1808-1867","89695 : Heuse, Otto, 1902-","84097 : Hosius, Carl, 1866-1937",
117,"89461 : Haase, Friedrich, 1808-1867",,,,,
118,"89459 : Gercke, Alfred, 1860-1922","89460 : Hermes, Emil, 1847-1911","89461 : Haase, Friedrich, 1808-1867","84092 : Hense, Otto, 1845-1931","84097 : Hosius, Carl, 1866-1937",
119,"89461 : Haase, Friedrich, 1808-1867",,,,,
120,"89461 : Haase, Friedrich, 1808-1867",,,,,
121,"89459 : Gercke, Alfred, 1860-1922","89460 : Hermes, Emil, 1847-1911","89461 : Haase, Friedrich, 1808-1867","84092 : Hense, Otto, 1845-1931","84097 : Hosius, Carl, 1866-1937",
122,"89699 : Rossbach, Otto, 1858-1931",,,,,
123,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
124,"89438 : Garrod, H. W. (Heathcote William), 1878-1960","89459 : Gercke, Alfred, 1860-1922",,,,
125,"89459 : Gercke, Alfred, 1860-1922","89460 : Hermes, Emil, 1847-1911","89461 : Haase, Friedrich, 1808-1867","84092 : Hense, Otto, 1845-1931","84097 : Hosius, Carl, 1866-1937",
126,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886",,,,,
127,"89694 : Gundermann, Gotthold, 1856-1921",,,,,
128,"89560 : Halm, Karl, 1809-1882",,,,,
129,"84104 : Kübler, Bernhard, 1859-1940","89616 : Seckel, Emil, 1864-1924",,,,
130,"89692 : Bremer, F. P. (Franz Peter), 1832-",,,,,
131,"91883 : Sittl, Karl, 1862-1899",,,,,
132,"89536 : Ludwig, Ernst, 1845-1912",,,,,
133,"89536 : Ludwig, Ernst, 1845-1912",,,,,
134,"89536 : Ludwig, Ernst, 1845-1912",,,,,
135,"91854 : Meyer, Wilhelm, 1845-1917",,,,,
136,,,,,,
137,"84054 : Dinter, Bernard",,,,,
138,"84054 : Dinter, Bernard",,,,,
139,"84190 : Wölfflin, Eduard von, 1831-1908","84104 : Kübler, Bernhard, 1859-1940",,,,
140,"84190 : Wölfflin, Eduard von, 1831-1908","84104 : Kübler, Bernhard, 1859-1940",,,,
141,,,,,,
142,"84104 : Kübler, Bernhard, 1859-1940",,,,,
143,,,,,,
144,"84127 : Müller, Lucian, 1836-1898",,,,,
145,"89548 : Boer, Ae.","89549 : Boll, Franz, 1867-1924","84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,
146,"89531 : Koch, Julius, 1866-",,,,,
147,"89531 : Koch, Julius, 1866-",,,,,
148,,,,,,
149,"84045 : Baehrens, Emil, 1848-1888",,,,,
150,"84127 : Müller, Lucian, 1836-1898",,,,,
151,,,,,,
152,,,,,,
153,"84127 : Müller, Lucian, 1836-1898",,,,,
154,"84133 : Plasberg, Otto, 1869-1924","89541 : Simbeck, Karl, 1882-1944",,,,
155,"84059 : Eussner, Adam, 1844-",,,,,
156,"84127 : Müller, Lucian, 1836-1898",,,,,
157,"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,,
158,"91731 : Frick, Karl, 1848-",,,,,
159,,,,,,
160,"84059 : Eussner, Adam, 1844-",,,,,
